,type,reference,price,district,street,area,rooms,plant,lift,parking,description
10,Flat,/en/inmueble/101129215/,"135,500€","[""\n\n\n\n\n\n\nFlat in calle d'Andrade"", ' La Verneda i la Pau', ' Barcelona\n\n\n135', '500€\n\n\n148', '500 €\n\n9%\n\n\n\n3 bed.\n69 m²\n4th floor without lift\n\n\nFloor 4th', ' flat total surface area 69 m²', ' usable floor area 59 m²', ' single bedrooms: 1', ' double bedrooms: 2', ' 1 bathrooms', ' age over 50 years', ' built-in wardrobes']",calle d'Andrade,69 m²,3 bed.,4th,lift,,"Floor 4th, flat total surface area 69 m², usable floor area 59 m², single bedrooms: 1, double bedrooms: 2, 1 bathrooms, age over 50 years, built-in wardrobes, ext. woodwork (aluminum)."
11,Flat,/en/inmueble/101617112/,"275,000€","['\n\n\n\n\n\n\nFlat in finlandia', ' Sants', ' Barcelona\n\n\n275', '000€\n\n\n4 bed.\n80 m²\n3rd floor exterior without lift\n\n\nFinlandia (Sants) next to Plaça de Sants', ' apartment located in the Regia estate', ' high exterior and bright to reform', ' currently distributed in a dining room facing the interior patio of the block', ' kitchen', ' 5 bedrooms (3 large', ' 2 of them connected to each other and 2 individual interiors)']",f,80 m²,4 bed.,3rd,without lift,,"Finlandia (Sants) next to Plaça de Sants, apartment located in the Regia estate, high exterior and bright to reform, currently distributed in a dining room facing the interior patio of the block, kitchen, 5 bedrooms (3 large, 2 of them connected to each other and 2 individual interiors), 1 bathroom"
12,Penthouse,/en/inmueble/97591298/,"1,600,000€","['\n\n\n\n\n\n\nPenthouse in calle de Ganduxer', ' Sant Gervasi - Galvany', ' Barcelona\n\n\n1', '600', '000€\nParking included\n\n\n4 bed.\n194 m²\n6th floor exterior with lift\n\n\nWe enter the property via a spacious', ' very bright living-dining room with access to a terrace with unobstructed views. Next to the living room we find a fully equipped kitchen']",calle de Ganduxer,194 m²,4 bed.,6th,with lift,Parking included,"We enter the property via a spacious, very bright living-dining room with access to a terrace with unobstructed views. Next to the living room we find a fully equipped kitchen, which leads to the service bedroom with a bathroom.
The night area is made up of two double bedrooms that share a complet"
13,Flat,/en/inmueble/100754520/,"1,195,000€","[""\n\n\n\n\n\n\nFlat in calle d'Aribau"", ' Sant Gervasi - Galvany', ' Barcelona\n\n\n1', '195', '000€\n\n\n5 bed.\n226 m²\n4th floor exterior with lift\n\n\nThe flat offers an excellent orientation', ' with sun and natural light. It can be accessed through two entrances', ' the main one and the service one', ' so it can be segregated. The day area is oriented to the street']",calle d'Aribau,226 m²,5 bed.,4th,with lift,,"The flat offers an excellent orientation, with sun and natural light. It can be accessed through two entrances, the main one and the service one, so it can be segregated. The day area is oriented to the street, while the night area overlooks a quiet and spacious courtyard. The apartment has 218 m2 a"
14,Penthouse,/en/inmueble/100866182/,"485,000€","['\n\n\n\n\n\n\nPenthouse in calle de Provença', ' La Sagrada Família', ' Barcelona\n\n\n485', '000€\nGarage optional 30', '000 €\n\n\n4 bed.\n107 m²\n8th floor exterior with lift\n\n\nLocated on Carrer Provenca', ' at the heart of the Eixample Right district in Barcelona City', ' we find this building with several apartments to renovate for sale and with renovated communal areas and façade. This location is ideal for those seeking a central base in the Catalan capital']",calle de Provença,107 m²,4 bed.,8th,with lift,"Garage optional 30,000 €","Located on Carrer Provenca, at the heart of the Eixample Right district in Barcelona City, we find this building with several apartments to renovate for sale and with renovated communal areas and façade. This location is ideal for those seeking a central base in the Catalan capital, with all ameniti"
15,Flat,/en/inmueble/101501195/,"330,000€","['\n\n\n\n\n\n\nFlat in calle de Mallorca', ' La Sagrada Família', ' Barcelona\n\n\n330', '000€\n\n\n2 bed.\n59 m²\n2nd floor exterior with lift\n\n\nUnique brand new home!\nClikalia puts this 59 m2 exterior property for sale under renovation.It is located on the 2nd floor with a lift', ' on Calle Mallorca']",calle de Mallorca,59 m²,2 bed.,2nd,with lift,,"Unique brand new home!
Clikalia puts this 59 m2 exterior property for sale under renovation.It is located on the 2nd floor with a lift, on Calle Mallorca, in the Sagrada Familia.
The house is being completely renovated and is represented by hyper-realistic images subject to possible modifications"
16,Penthouse,/en/inmueble/100678816/,"3,850,000€","['\n\n\n\n\n\n\nPenthouse in calle de Bellesguard', ' Sant Gervasi - La Bonanova', ' Barcelona\n\n\n3', '850', '000€\nParking included\n\n\n4 bed.\n364 m²\n3rd floor exterior with lift\n\n\nThe property consists of 220 m2 built plus a magnificent terrace of 210 m2 that surrounds the entire property. From the kitchen dining room living room', ' we access the largest area of the terrace', ' where we find several independent areas']",calle de Bellesguard,364 m²,4 bed.,3rd,with lift,Parking included,"The property consists of 220 m2 built plus a magnificent terrace of 210 m2 that surrounds the entire property. From the kitchen dining room living room, we access the largest area of the terrace, where we find several independent areas, such as a barbecue-summer dining room area and several chillout"
17,Flat,/en/inmueble/100464424/,"3,500,000€","['\n\n\n\n\n\n\nFlat in paseo de Gràcia', "" La Dreta de l'Eixample"", ' Barcelona\n\n\n3', '500', '000€\n\n\n4 bed.\n230 m²\n6th floor exterior with lift\n\n\nThis apartment is in a very special position on a very special boulevard in Barcelona', "" offering space and luxury right in the heart of the city's most exclusive central neighbourhood.\nThe fifth floor position makes it easy to rise above the bustling streets below""]",paseo de Gràcia,230 m²,4 bed.,6th,with lift,,"This apartment is in a very special position on a very special boulevard in Barcelona, offering space and luxury right in the heart of the city's most exclusive central neighbourhood.
The fifth floor position makes it easy to rise above the bustling streets below, enjoy an oasis of calm and take i"
18,Flat,/en/inmueble/100834831/,"795,000€","['\n\n\n\n\n\n\nFlat in calle dels Madrazo', ' Sant Gervasi - Galvany', ' Barcelona\n\n\n795', '000€\nParking included\n\n\n3 bed.\n128 m²\n5th floor exterior with lift\n\n\nWe access the apartment through a entrance hall with wardrobes on your right. To your left', ' we have a spacious single room with a guest toilet. In addition', ' the corridor leads to a large', ' very spacious dining room living room with a terrace and abundant natural light. Next to it']",calle dels Madrazo,128 m²,3 bed.,5th,with lift,Parking included,"We access the apartment through a entrance hall with wardrobes on your right. To your left, we have a spacious single room with a guest toilet. In addition, the corridor leads to a large, very spacious dining room living room with a terrace and abundant natural light. Next to it, there is a study ar"
19,Penthouse,/en/inmueble/98367697/,"3,650,000€","['\n\n\n\n\n\n\nPenthouse in avenida Diagonal', ' Les Corts', ' Barcelona\n\n\n3', '650', '000€\n\n\n5 bed.\n458 m²\n8th floor exterior with lift\n\n\nThis exclusive', ' luxury property designed with the highest quality finishes is unique on the market. The apartment is divided into three floors', ' the first houses mainly the day area', ' the second the night area with 3 double bedrooms and the third']",avenida Diagonal,458 m²,5 bed.,8th,with lift,,"This exclusive, luxury property designed with the highest quality finishes is unique on the market. The apartment is divided into three floors, the first houses mainly the day area, the second the night area with 3 double bedrooms and the third, a large terrace with panoramic views of the city and w"
20,Flat,/en/inmueble/101525932/,"275,000€","['\n\n\n\n\n\n\nFlat in calle de Llagostera', "" El Camp de l'Arpa del Clot"", ' Barcelona\n\n\n275', '000€\n\n\n2 bed.\n59 m²\n4th floor exterior with lift\n\n\nUnique brand new home!\nClikalia puts this 59 m2 exterior property for sale under renovation.It is located on the 4th floor with an elevator being installed', ' on Llagostera street']",calle de Llagostera,59 m²,2 bed.,4th,with lift,,"Unique brand new home!
Clikalia puts this 59 m2 exterior property for sale under renovation.It is located on the 4th floor with an elevator being installed, on Llagostera street, in Camp de l'Arpa del Clot.
Would you like to customize the finishes of this apartment? Visit this house that is being"
21,Flat,/en/inmueble/101619369/,"299,000€","['\n\nFlat in plaza de Raimon Casellas', ' Nn', ' Can Baró', ' Barcelona\n\n\n299']",plaza de Raimon Casellas,106 m²,4 bed.,3rd,with lift,,TRIPLEX APARTMENT FOR SALE WITH OPTIONAL PARKING Very bright exterior triplex house to move into on a third real floor with a single-use elevator for the owners of the third floor of the property. The house has 106 square meters distributed as follows: LOWER FLOOR: Living room with access to a balco
22,Penthouse,/en/inmueble/99250370/,"1,140,000€","['\n\n\n\n\n\n\nPenthouse in calle del Rosselló', "" La Nova Esquerra de l'Eixample"", ' Barcelona\n\n\n1', '140', '000€\nGarage optional 30', ""000 €\n\n\n5 bed.\n179 m²\n7th floor exterior with lift\n\n\nNice duplex penthouse to renovate located in l'Eixample Izquierdo"", ' with 170 m2', ' open and bright. It has five bedrooms (one suite)', ' a large living room with a fireplace that opens onto a 17 m2 terrace with afternoon sun']",calle del Rosselló,179 m²,5 bed.,7th,with lift,"Garage optional 30,000 €","Nice duplex penthouse to renovate located in l'Eixample Izquierdo, with 170 m2, open and bright. It has five bedrooms (one suite), a large living room with a fireplace that opens onto a 17 m2 terrace with afternoon sun, and four bedrooms plus an office.
A small entrance hall gives us access to the"
23,Flat,/en/inmueble/100740666/,"690,000€","['\n\n\n\n\n\n\nFlat in avenida Diagonal', "" La Dreta de l'Eixample"", ' Barcelona\n\n\n690', '000€\n\n\n5 bed.\n133 m²\n3rd floor exterior with lift\n\n\nThis 132 m² property to renovate is located on the third floor of a classic-style building dating back to 1955 with a newly renovated façade', ' communal areas and utility installations. The clean appearance of the elegant façade and the bright']",avenida Diagonal,133 m²,5 bed.,3rd,with lift,,"This 132 m² property to renovate is located on the third floor of a classic-style building dating back to 1955 with a newly renovated façade, communal areas and utility installations. The clean appearance of the elegant façade and the bright, chic lobby set the tone for the high-end homes found with"
24,Flat,/en/inmueble/101105313/,"360,000€","['\n\n\n\n\n\n\nFlat in calle del Cardenal Tedeschini', ' El Congrés i els Indians', ' Barcelona\n\n\n360', '000€\n\n\n3 bed.\n93 m²\n6th floor exterior with lift\n\n\nSERVICHECK RENT IN BARCELONA!\nFor more information contact Nattaly at (we accept requests for information through whatsapp)\nFor rent beautiful 81 square meters approximately.\nHigh floor completely exterior', ' quite bright with excellent views in all rooms. Very sunny']",calle del Cardenal Tedesch,93 m²,3 bed.,6th,with lift,,"SERVICHECK RENT IN BARCELONA!
For more information contact Nattaly at (we accept requests for information through whatsapp)
For rent beautiful 81 square meters approximately.
High floor completely exterior, quite bright with excellent views in all rooms. Very sunny, excellent orientation.
The apar"
25,Flat,/en/inmueble/101392847/,"595,000€","[""\n\n\n\n\n\n\nFlat in La Nova Esquerra de l'Eixample"", ' Barcelona\n\n\n595', '000€\n\n\n7 bed.\n153 m²\n exterior with lift\n\n\nFloor main', ' flat total surface area 153 m²', ' usable floor area 153 m²', ' single bedrooms: 4', ' double bedrooms: 3', ' 2 bathrooms', ' air conditioning (hot and cold)', ' lift', ' balcony', ' heating (natural gas)', ' kitchen', ' dining room', ' state of repair: needs remodeling', ' sunny', ' terrace', ' exterior']",La Nova Esquerra de l'Eixample,153 m²,7 bed.,,,,"Floor main, flat total surface area 153 m², usable floor area 153 m², single bedrooms: 4, double bedrooms: 3, 2 bathrooms, air conditioning (hot and cold), lift, balcony, heating (natural gas), kitchen, dining room, state of repair: needs remodeling, sunny, terrace, exterior, interior."
26,Flat,/en/inmueble/101546754/,"795,000€","['\n\n\n\n\n\n\nFlat in via Laietana', ' Sant Pere - Santa Caterina i la Ribera', ' Barcelona\n\n\n795']",via Laietana,88 m²,2 bed.,1st,with lift,,"Residential complex of 15 luxury apartments where the classical architecture of its historic facade is combined with comfort and contemporary interior design.
We are looking at a completely rehabilitated four-floor building with a spectacular entrance that is located on one of the most significant"
27,Flat,/en/inmueble/99365610/,"295,000€","['\n\n\n\n\n\n\nFlat in travesía de Gràcia', ' El Baix Guinardó', ' Barcelona\n\n\n295', '000€\n\n\n360', '000 €\n\n18%\n\n\n\n3 bed.\n90 m²\nMezzanine with lift\n\n\nReference: 142CAPI_inmo_01427_ Magnificent apartment for sale in Travessera de Gracia. It has an area of 92m2', ' distributed in a large entrance', ' living room', ' 3 bedrooms (one of them double)', ' a bathroom', ' kitchen', ' terrace of 7m. Low with a single step']",travesía de Gràcia,90 m²,3 bed.,Mezzanine,,,"Reference: 142CAPI_inmo_01427_ Magnificent apartment for sale in Travessera de Gracia. It has an area of 92m2, distributed in a large entrance, living room, 3 bedrooms (one of them double), a bathroom, kitchen, terrace of 7m. Low with a single step, it has a video intercom. Unbeatable location just"
28,Terraced,/en/inmueble/101614009/,"330,000€","[""\n\n\n\n\n\n\nTerraced house in plaza d'Orfila"", ' Nn', ' Sant Andreu', ' Barcelona\n\n\n330']",plaza d'Orfila,103 m²,3 bed.,,,,"You can contact via WhatsApp at 689//972//777
House with 2 floors in the center of the SANT ANDREU neighborhood! 103m2 built. 75m2 useful house + 10m2 patio at the foot of the house + 18m2 of 2 terraces at the top of the house with access from the patio. Radiator heating and air conditioning.
Grou"
29,Flat,/en/inmueble/101300670/,"1,650,000€","['\n\n\n\n\n\n\nFlat in calle de Mallorca', "" La Dreta de l'Eixample"", ' Barcelona\n\n\n1', '650', ""000€\n\n\n3 bed.\n202 m²\n1st floor exterior without lift\n\n\nSotheby's International Realty is pleased to present this stately master in one of the best corners of Eixample Dret. The property stands out for its high ceilings"", ' abundant aesthetic details', ' such as moldings and ceilings']",calle de Mallorca,202 m²,3 bed.,1st,without lift,,"Sotheby's International Realty is pleased to present this stately master in one of the best corners of Eixample Dret. The property stands out for its high ceilings, abundant aesthetic details, such as moldings and ceilings, and the Versailles Parquet that can be found in the living room and dining r"
30,Flat,/en/inmueble/101609480/,"460,000€","['\n\n\n\n\n\n\nFlat in Aragó', "" La Nova Esquerra de l'Eixample"", ' Barcelona\n\n\n460', '000€\nGarage optional 25', '000 €\n\n\n3 bed.\n120 m²\nMezzanine exterior with lift\n\n\nAndor Home offers you this property located on Aragó street', ' crossing Vilamarí street.\nIt has a built area of 120m2', ' distributed in two double rooms and one single room', ' 2 full bathrooms']",Aragó,120 m²,3 bed.,Mezzanine,lift,"Garage optional 25,000 €","Andor Home offers you this property located on Aragó street, crossing Vilamarí street.
It has a built area of 120m2, distributed in two double rooms and one single room, 2 full bathrooms, an independent office-style kitchen and a living-dining room facing the block patio. The property has two interi"
31,Penthouse,/en/inmueble/97591298/,"1,600,000€","['\n\n\n\n\n\n\nPenthouse in calle de Ganduxer', ' Sant Gervasi - Galvany', ' Barcelona\n\n\n1', '600', '000€\nParking included\n\n\n4 bed.\n194 m²\n6th floor exterior with lift\n\n\nWe enter the property via a spacious', ' very bright living-dining room with access to a terrace with unobstructed views. Next to the living room we find a fully equipped kitchen']",calle de Ganduxer,194 m²,4 bed.,6th,with lift,Parking included,"We enter the property via a spacious, very bright living-dining room with access to a terrace with unobstructed views. Next to the living room we find a fully equipped kitchen, which leads to the service bedroom with a bathroom.
The night area is made up of two double bedrooms that share a complet"
32,Flat,/en/inmueble/98677823/,"1,250,000€","['\n\n\n\n\n\n\nFlat in calle de Mallorca', "" L'Antiga Esquerra de l'Eixample"", ' Barcelona\n\n\n1', '250', '000€\n\n\n2 bed.\n146 m²\nMezzanine exterior with lift\n\n\nStunning luxury property in the heart of Eixample with a wonderful 60 sqm decked terrace – a private oasis in the city centre. This 2-bedroom apartment measures 120 sqm and includes beautiful designer furniture']",calle de Mallorca,146 m²,2 bed.,Mezzanine,lift,,"Stunning luxury property in the heart of Eixample with a wonderful 60 sqm decked terrace – a private oasis in the city centre. This 2-bedroom apartment measures 120 sqm and includes beautiful designer furniture, pieces of art and carefully curated interior design.
The layout of the apartment is ve"
33,Penthouse,/en/inmueble/100678816/,"3,850,000€","['\n\n\n\n\n\n\nPenthouse in calle de Bellesguard', ' Sant Gervasi - La Bonanova', ' Barcelona\n\n\n3', '850', '000€\nParking included\n\n\n4 bed.\n364 m²\n3rd floor exterior with lift\n\n\nThe property consists of 220 m2 built plus a magnificent terrace of 210 m2 that surrounds the entire property. From the kitchen dining room living room', ' we access the largest area of the terrace', ' where we find several independent areas']",calle de Bellesguard,364 m²,4 bed.,3rd,with lift,Parking included,"The property consists of 220 m2 built plus a magnificent terrace of 210 m2 that surrounds the entire property. From the kitchen dining room living room, we access the largest area of the terrace, where we find several independent areas, such as a barbecue-summer dining room area and several chillout"
34,Flat,/en/inmueble/101313495/,"399,000€","[""\n\n\n\n\n\n\nFlat in calle d'Aragó"", "" La Nova Esquerra de l'Eixample"", ' Barcelona\n\n\n399', '000€\n\n\n3 bed.\n91 m²\n1st floor exterior with lift\n\n\nUnique brand new home!\nClikalia puts this 91 m2 exterior property for sale under renovation.It is located on the 1st floor with a lift', ' on Aragó street']",calle d'Aragó,91 m²,3 bed.,1st,with lift,,"Unique brand new home!
Clikalia puts this 91 m2 exterior property for sale under renovation.It is located on the 1st floor with a lift, on Aragó street, in the new Esquerra de l'Eixample.
The house is being completely renovated and is represented by hyper-realistic images subject to possible modif"
35,Flat,/en/inmueble/98730212/,"1,055,000€","[""\n\n\n\n\n\n\nFlat in calle d'Ausiàs Marc"", "" La Dreta de l'Eixample"", ' Barcelona\n\n\n1', '055', '000€\n\n\n2 bed.\n130 m²\n2nd floor exterior with lift\n\n\nWe find this wonderful new property on the second floor of an ultra-modern building with properties designed by prestigious architect firm GCA Architects', ' combining new technology with a cutting-edge design. This is reflected in the exceptionally high quality finishes and materials used']",calle d'Ausiàs Marc,130 m²,2 bed.,2nd,with lift,,"We find this wonderful new property on the second floor of an ultra-modern building with properties designed by prestigious architect firm GCA Architects, combining new technology with a cutting-edge design. This is reflected in the exceptionally high quality finishes and materials used, including:"
36,Flat,/en/inmueble/101514831/,"580,000€","['\n\n\n\n\n\n\nFlat in via Augusta', ' Sant Gervasi - Galvany', ' Barcelona\n\n\n580', '000€\n\n\n4 bed.\n106 m²\n1st floor exterior with lift\n\n\nUnique brand new home!\nClikalia offers this exterior property of 106 m2 for sale under renovation.It is located on the 1st floor with a lift', ' on Via Augusta street']",via Augusta,106 m²,4 bed.,1st,with lift,,"Unique brand new home!
Clikalia offers this exterior property of 106 m2 for sale under renovation.It is located on the 1st floor with a lift, on Via Augusta street, in Sant Gervasi-Galvany.
Would you like to customize the finishes of this apartment? Visit this house that is being renovated from an"
37,Flat,/en/inmueble/101104355/,"950,000€","['\n\n\n\n\n\n\nFlat in calle de Teodor Roviralta', ' Sant Gervasi - La Bonanova', ' Barcelona\n\n\n950', '000€\nParking included\n\n\n3 bed.\n117 m²\n1st floor exterior with lift\n\n\nThe apartment is located in a high quality building from 2007 with a large garage', ' with wide entrances', ' with a community garden and pool.\nThe location is exceptional', ' next to Avinguda Tibidabo']",calle de Teodor Roviralta,117 m²,3 bed.,1st,with lift,Parking included,"The apartment is located in a high quality building from 2007 with a large garage, with wide entrances, with a community garden and pool.
The location is exceptional, next to Avinguda Tibidabo, in front of the CosmoCaixa museum and very close to Plaza Kennedy. It has very good connections both wit"
38,Semi-detached,/en/inmueble/100603035/,"4,950,000€","['\n\n\n\n\n\n\nSemi-detached house in calle dels Cavallers', ' Pedralbes', ' Barcelona\n\n\n4', '950', '000€\nParking included\n\n\n5 bed.\n670 m²\n\n\nLucas Fox presents this exceptional detached house in Pedralbes', ' surrounded by private gardens and trees in the heart of Catalan capital.\nThe property', ' from 1989 and with a functional design']",calle dels Cavallers,670 m²,5 bed.,,,Parking included,"Lucas Fox presents this exceptional detached house in Pedralbes, surrounded by private gardens and trees in the heart of Catalan capital.
The property, from 1989 and with a functional design, is divided into four floors and stands out for the luminosity and tranquility of its spacious rooms. In ad"
39,Penthouse,/en/inmueble/99381649/,"3,150,000€","[""\n\n\n\n\n\n\nPenthouse in calle de Sor Eulàlia d'Anzizu"", ' Pedralbes', ' Barcelona\n\n\n3', '150', '000€\nParking included\n\n\n6 bed.\n396 m²\n6th floor exterior with lift\n\n\nWe present this unique home in one of the most emblematic neighborhoods of Barcelona. We access its interior from the elevator', ' where we find a large hall. Through the main door', ' we reach a second hall that leads to a spacious living room with access to a comfortable south-facing terrace. Here']",calle de Sor Eulàlia d'Anzizu,396 m²,6 bed.,6th,with lift,Parking included,"We present this unique home in one of the most emblematic neighborhoods of Barcelona. We access its interior from the elevator, where we find a large hall. Through the main door, we reach a second hall that leads to a spacious living room with access to a comfortable south-facing terrace. Here, we c"
40,Flat,/en/inmueble/101357951/,"540,000€","[""\n\n\n\n\n\n\nFlat in calle de l'Hort de la Vila"", ' Sarrià', ' Barcelona\n\n\n540', '000€\n\n\n1 bed.\n65 m²\n3rd floor exterior with lift\n\n\nBrand new apartment for sale in Sarrià\nApartment of 63m2 built to deliver completely renovated. The property consists of a living room with integrated kitchen with a terrace of about 2m2. It has a double bedroom en suite with fitted closets and exterior to Hort de la Vila street. Parquet floors']",calle de l'Hort de la Vila,65 m²,1 bed.,3rd,with lift,,"Brand new apartment for sale in Sarrià
Apartment of 63m2 built to deliver completely renovated. The property consists of a living room with integrated kitchen with a terrace of about 2m2. It has a double bedroom en suite with fitted closets and exterior to Hort de la Vila street. Parquet floors, air"
