,type,reference,price,district,street,area,plant,lift,parking,description
10,Flat,/en/inmueble/101392847/,"595,000€","[""\n\n\n\n\n\n\nFlat in La Nova Esquerra de l'Eixample"", ' Barcelona\n\n\n595', '000€\n\n\n7 bed.\n153 m²\n exterior with lift\n\n\nFloor main', ' flat total surface area 153 m²', ' usable floor area 153 m²', ' single bedrooms: 4', ' double bedrooms: 3', ' 2 bathrooms', ' air conditioning (hot and cold)', ' lift', ' balcony', ' heating (natural gas)', ' kitchen', ' dining room', ' state of repair: needs remodeling', ' sunny', ' terrace', ' exterior']",La Nova Esquerra de l'Eixample,153 m²,,,,"Floor main, flat total surface area 153 m², usable floor area 153 m², single bedrooms: 4, double bedrooms: 3, 2 bathrooms, air conditioning (hot and cold), lift, balcony, heating (natural gas), kitchen, dining room, state of repair: needs remodeling, sunny, terrace, exterior, interior."
11,Flat,/en/inmueble/100754520/,"1,195,000€","[""\n\n\n\n\n\n\nFlat in calle d'Aribau"", ' Sant Gervasi - Galvany', ' Barcelona\n\n\n1', '195', '000€\n\n\n5 bed.\n226 m²\n4th floor exterior with lift\n\n\nThe flat offers an excellent orientation', ' with sun and natural light. It can be accessed through two entrances', ' the main one and the service one', ' so it can be segregated. The day area is oriented to the street']",calle d'Aribau,226 m²,4th,with lift,,"The flat offers an excellent orientation, with sun and natural light. It can be accessed through two entrances, the main one and the service one, so it can be segregated. The day area is oriented to the street, while the night area overlooks a quiet and spacious courtyard. The apartment has 218 m2 a"
12,Flat,/en/inmueble/101105313/,"360,000€","['\n\n\n\n\n\n\nFlat in calle del Cardenal Tedeschini', ' El Congrés i els Indians', ' Barcelona\n\n\n360', '000€\n\n\n3 bed.\n93 m²\n6th floor exterior with lift\n\n\nSERVICHECK RENT IN BARCELONA!\nFor more information contact Nattaly at (we accept requests for information through whatsapp)\nFor rent beautiful 81 square meters approximately.\nHigh floor completely exterior', ' quite bright with excellent views in all rooms. Very sunny']",calle del Cardenal Tedesch,93 m²,6th,with lift,,"SERVICHECK RENT IN BARCELONA!
For more information contact Nattaly at (we accept requests for information through whatsapp)
For rent beautiful 81 square meters approximately.
High floor completely exterior, quite bright with excellent views in all rooms. Very sunny, excellent orientation.
The apar"
13,Flat,/en/inmueble/98730212/,"1,055,000€","[""\n\n\n\n\n\n\nFlat in calle d'Ausiàs Marc"", "" La Dreta de l'Eixample"", ' Barcelona\n\n\n1', '055', '000€\n\n\n2 bed.\n130 m²\n2nd floor exterior with lift\n\n\nWe find this wonderful new property on the second floor of an ultra-modern building with properties designed by prestigious architect firm GCA Architects', ' combining new technology with a cutting-edge design. This is reflected in the exceptionally high quality finishes and materials used']",calle d'Ausiàs Marc,130 m²,2nd,with lift,,"We find this wonderful new property on the second floor of an ultra-modern building with properties designed by prestigious architect firm GCA Architects, combining new technology with a cutting-edge design. This is reflected in the exceptionally high quality finishes and materials used, including:"
14,Flat,/en/inmueble/101323392/,"664,850€","['\n\n\n\n\n\n\nFlat in calle del dos de Maig', ' La Sagrada Família', ' Barcelona\n\n\n664', ""850€\n\n\n2 bed.\n158 m²\n2nd floor exterior with lift\n\n\nRefurbished apartment for sale in Camp de l'Arpa\nLocated in the neighborhood of Camp de l'Arpa"", ' a few blocks from the Sagrada Familia and Hospital Sant Pau. It is located near the metro stops of L5 and L2. \xa0\nApartment of 133 m2 built', ' brand new with high quality finishes']",calle del dos de Maig,158 m²,2nd,with lift,,"Refurbished apartment for sale in Camp de l'Arpa
Located in the neighborhood of Camp de l'Arpa, a few blocks from the Sagrada Familia and Hospital Sant Pau. It is located near the metro stops of L5 and L2.  
Apartment of 133 m2 built, brand new with high quality finishes, in an estate of 1975.
This"
15,Terraced,/en/inmueble/101614009/,"330,000€","[""\n\n\n\n\n\n\nTerraced house in plaza d'Orfila"", ' Nn', ' Sant Andreu', ' Barcelona\n\n\n330']",plaza d'Orfila,103 m²,,,,"You can contact via WhatsApp at 689//972//777
House with 2 floors in the center of the SANT ANDREU neighborhood! 103m2 built. 75m2 useful house + 10m2 patio at the foot of the house + 18m2 of 2 terraces at the top of the house with access from the patio. Radiator heating and air conditioning.
Grou"
16,Penthouse,/en/inmueble/97028172/,"5,200,000€","['\n\n\n\n\n\n\nPenthouse in paseo de Sant Joan', "" La Dreta de l'Eixample"", ' Barcelona\n\n\n5', '200', '000€\n\n\n5 bed.\n367 m²\n9th floor exterior with lift\n\n\nThis stunning penthouse hosts 269 m2 distributed across two floors and a turret with 360º exposures. With straight access from the main lift']",paseo de Sant Joan,367 m²,9th,with lift,,"This stunning penthouse hosts 269 m2 distributed across two floors and a turret with 360º exposures. With straight access from the main lift, we walk through a hall that leads to a large central space composed by the living area and a dining room and an access to a terrace at the same level.  A full"
17,Flat,/en/inmueble/101526625/,"265,000€","['\n\n\n\n\n\n\nFlat in calle de Llagostera', "" El Camp de l'Arpa del Clot"", ' Barcelona\n\n\n265', '000€\n\n\n2 bed.\n56 m²\n2nd floor exterior with lift\n\n\nUnique brand new home!\nClikalia puts this 56 m2 exterior property for sale under renovation.It is located on the 2nd floor with an elevator being installed', ' on Llagostera street']",calle de Llagostera,56 m²,2nd,with lift,,"Unique brand new home!
Clikalia puts this 56 m2 exterior property for sale under renovation.It is located on the 2nd floor with an elevator being installed, on Llagostera street, in the Camp de l'arpa del Clot.
Would you like to customize the finishes of this apartment? Visit this house that is be"
18,Flat,/en/inmueble/101546511/,"330,000€","['\n\n\n\n\n\n\nFlat in calle de los Castillejos', ' La Sagrada Família', ' Barcelona\n\n\n330', '000€\n\n\n2 bed.\n80 m²\n1st floor exterior with lift\n\n\nPersonalize your home!\nClikalia puts this 80 m2 exterior property for sale under renovation.It is located on the 1st floor with a lift', ' on Calle Castillejos']",calle de los Castillejos,80 m²,1st,with lift,,"Personalize your home!
Clikalia puts this 80 m2 exterior property for sale under renovation.It is located on the 1st floor with a lift, on Calle Castillejos, in the Sagrada Familia.
Would you like to reform this house? At Clikalia we offer you the option of comprehensively reforming your home with"
19,Flat,/en/inmueble/100663683/,"795,000€","['\n\n\n\n\n\n\nFlat in Passatge del Patriarca', ' El Gòtic', ' Barcelona\n\n\n795', '000€\n\n\n2 bed.\n109 m²\n3rd floor exterior with lift\n\n\nFully renovated', ' furnished apartment of 109 m² located on the third floor of a fully renovated building on Portal del Angel', ' with its entrance on Passatge Patriarca. It is at the heart of the Gothic neighbourhood', "" on one of the most popular shopping streets in the city. What's more""]",Passatge del Patriarca,109 m²,3rd,with lift,,"Fully renovated, furnished apartment of 109 m² located on the third floor of a fully renovated building on Portal del Angel, with its entrance on Passatge Patriarca. It is at the heart of the Gothic neighbourhood, on one of the most popular shopping streets in the city. What's more, the building boa"
20,Flat,/en/inmueble/100464424/,"3,500,000€","['\n\n\n\n\n\n\nFlat in paseo de Gràcia', "" La Dreta de l'Eixample"", ' Barcelona\n\n\n3', '500', '000€\n\n\n4 bed.\n230 m²\n6th floor exterior with lift\n\n\nThis apartment is in a very special position on a very special boulevard in Barcelona', "" offering space and luxury right in the heart of the city's most exclusive central neighbourhood.\nThe fifth floor position makes it easy to rise above the bustling streets below""]",paseo de Gràcia,230 m²,6th,with lift,,"This apartment is in a very special position on a very special boulevard in Barcelona, offering space and luxury right in the heart of the city's most exclusive central neighbourhood.
The fifth floor position makes it easy to rise above the bustling streets below, enjoy an oasis of calm and take i"
21,Flat,/en/inmueble/101526370/,"500,000€","['\n\n\n\n\n\n\nFlat in calle de Casp', ' El Fort Pienc', ' Barcelona\n\n\n500', '000€\n\n\n3 bed.\n104 m²\n6th floor exterior with lift\n\n\nUnique brand new home!\nClikalia puts this 104 m2 exterior property for sale under renovation. It is located on the 6th floor with elevator', ' on Casp street']",calle de Casp,104 m²,6th,with lift,,"Unique brand new home!
Clikalia puts this 104 m2 exterior property for sale under renovation. It is located on the 6th floor with elevator, on Casp street, in Fort Pienc.
Would you like to customize the finishes of this apartment? Visit this house that is being renovated from anywhere through a 3D"
22,Flat,/en/inmueble/100943303/,"453,000€","['\n\n\n\n\n\n\nFlat in calle de Finlàndia', ' Sants', ' Barcelona\n\n\n453', '000€\n\n\n2 bed.\n83 m²\n3rd floor exterior with lift\n\n\nLucas Fox presents Finlandia Apartments', ' a new-build development located in the district of Sants-Montjuïc', ' a highly sought-after area in Barcelona.\nThe development is presented in a fully renovated building', ' offering this apartment with two bedrooms', ' two bathrooms']",calle de F,83 m²,3rd,with lift,,"Lucas Fox presents Finlandia Apartments, a new-build development located in the district of Sants-Montjuïc, a highly sought-after area in Barcelona.
The development is presented in a fully renovated building, offering this apartment with two bedrooms, two bathrooms, an open-plan living area and a"
23,Flat,/en/inmueble/101313495/,"399,000€","[""\n\n\n\n\n\n\nFlat in calle d'Aragó"", "" La Nova Esquerra de l'Eixample"", ' Barcelona\n\n\n399', '000€\n\n\n3 bed.\n91 m²\n1st floor exterior with lift\n\n\nUnique brand new home!\nClikalia puts this 91 m2 exterior property for sale under renovation.It is located on the 1st floor with a lift', ' on Aragó street']",calle d'Aragó,91 m²,1st,with lift,,"Unique brand new home!
Clikalia puts this 91 m2 exterior property for sale under renovation.It is located on the 1st floor with a lift, on Aragó street, in the new Esquerra de l'Eixample.
The house is being completely renovated and is represented by hyper-realistic images subject to possible modif"
24,Flat,/en/inmueble/101525932/,"275,000€","['\n\n\n\n\n\n\nFlat in calle de Llagostera', "" El Camp de l'Arpa del Clot"", ' Barcelona\n\n\n275', '000€\n\n\n2 bed.\n59 m²\n4th floor exterior with lift\n\n\nUnique brand new home!\nClikalia puts this 59 m2 exterior property for sale under renovation.It is located on the 4th floor with an elevator being installed', ' on Llagostera street']",calle de Llagostera,59 m²,4th,with lift,,"Unique brand new home!
Clikalia puts this 59 m2 exterior property for sale under renovation.It is located on the 4th floor with an elevator being installed, on Llagostera street, in Camp de l'Arpa del Clot.
Would you like to customize the finishes of this apartment? Visit this house that is being"
25,Flat,/en/inmueble/101501195/,"330,000€","['\n\n\n\n\n\n\nFlat in calle de Mallorca', ' La Sagrada Família', ' Barcelona\n\n\n330', '000€\n\n\n2 bed.\n59 m²\n2nd floor exterior with lift\n\n\nUnique brand new home!\nClikalia puts this 59 m2 exterior property for sale under renovation.It is located on the 2nd floor with a lift', ' on Calle Mallorca']",calle de Mallorca,59 m²,2nd,with lift,,"Unique brand new home!
Clikalia puts this 59 m2 exterior property for sale under renovation.It is located on the 2nd floor with a lift, on Calle Mallorca, in the Sagrada Familia.
The house is being completely renovated and is represented by hyper-realistic images subject to possible modifications"
26,Flat,/en/inmueble/101041993/,"740,000€","['\n\n\n\n\n\n\nFlat in Gran Via de les Corts Catalanes', "" La Dreta de l'Eixample"", ' Barcelona\n\n\n740', '000€\n\n\n3 bed.\n165 m²\n2nd floor exterior with lift\n\n\nStep into this spacious 3-bedroom', ' 2-bathroom property located in the heart of a prime neighbourhood and experience ultimate comfort and convenience. This stunning home boasts a well-distributed floor plan', ' daylight', ' a good orientation']",Gran Via de les Corts Catalanes,165 m²,2nd,with lift,,"Step into this spacious 3-bedroom, 2-bathroom property located in the heart of a prime neighbourhood and experience ultimate comfort and convenience. This stunning home boasts a well-distributed floor plan, daylight, a good orientation, as well as an optional parking space in the same building.
On"
27,Penthouse,/en/inmueble/101090719/,"1,450,000€","['\n\n\n\n\n\n\nPenthouse in calle de Trafalgar', ' Sant Pere - Santa Caterina i la Ribera', ' Barcelona\n\n\n1', '450', '000€\n\n\n2 bed.\n135 m²\n4th floor exterior with lift\n\n\nLocated in one of the most sought-after neighborhoods in the city', ' this apartment features high-quality finishes and modern amenities that will make you feel right at home. With 110 m² of interior space and a 84 m² terrace']",calle de Trafalgar,135 m²,4th,with lift,,"Located in one of the most sought-after neighborhoods in the city, this apartment features high-quality finishes and modern amenities that will make you feel right at home. With 110 m² of interior space and a 84 m² terrace, this apartment is perfect for those looking for a spacious space with lots o"
28,Penthouse,/en/inmueble/100678816/,"3,850,000€","['\n\n\n\n\n\n\nPenthouse in calle de Bellesguard', ' Sant Gervasi - La Bonanova', ' Barcelona\n\n\n3', '850', '000€\nParking included\n\n\n4 bed.\n364 m²\n3rd floor exterior with lift\n\n\nThe property consists of 220 m2 built plus a magnificent terrace of 210 m2 that surrounds the entire property. From the kitchen dining room living room', ' we access the largest area of the terrace', ' where we find several independent areas']",calle de Bellesguard,364 m²,3rd,with lift,Parking included,"The property consists of 220 m2 built plus a magnificent terrace of 210 m2 that surrounds the entire property. From the kitchen dining room living room, we access the largest area of the terrace, where we find several independent areas, such as a barbecue-summer dining room area and several chillout"
29,Flat,/en/inmueble/101104355/,"950,000€","['\n\n\n\n\n\n\nFlat in calle de Teodor Roviralta', ' Sant Gervasi - La Bonanova', ' Barcelona\n\n\n950', '000€\nParking included\n\n\n3 bed.\n117 m²\n1st floor exterior with lift\n\n\nThe apartment is located in a high quality building from 2007 with a large garage', ' with wide entrances', ' with a community garden and pool.\nThe location is exceptional', ' next to Avinguda Tibidabo']",calle de Teodor Roviralta,117 m²,1st,with lift,Parking included,"The apartment is located in a high quality building from 2007 with a large garage, with wide entrances, with a community garden and pool.
The location is exceptional, next to Avinguda Tibidabo, in front of the CosmoCaixa museum and very close to Plaza Kennedy. It has very good connections both wit"
30,Flat,/en/inmueble/98491349/,"2,950,000€","['\n\n\n\n\n\n\nFlat in paseo de Sant Joan', "" La Dreta de l'Eixample"", ' Barcelona\n\n\n2', '950', '000€\n\n\n7 bed.\n275 m²\n1st floor exterior with lift\n\n\nStunning and beautiful modernist property with terrace in Paseo Sant Joan.\nThis outstanding property is located in one of the best modernist buildings in Barcelona']",paseo de Sant Joan,275 m²,1st,with lift,,"Stunning and beautiful modernist property with terrace in Paseo Sant Joan.
This outstanding property is located in one of the best modernist buildings in Barcelona, in Paseo Sant Joan and at the foot of the Arc de Triomf. It occupies the entire ""Princpal"" floor (1st) of the building and is made up"
31,Flat,/en/inmueble/99172111/,"863,000€","['\n\n\n\n\n\n\nFlat in calle de Bailèn', "" La Dreta de l'Eixample"", ' Barcelona\n\n\n863', '000€\n\n\n895', '000 €\n\n4%\n\n\n\n3 bed.\n146 m²\n1st floor exterior with lift\n\n\nSuperb refurbished apartment with original features in the best area of Eixample.\nThis recently refurbished property is in a perfect state of conservation', ' so it\'s practically brand new. It\'s located in ""Quadrat d\'Or"" (""Golden Square"")', ' in the lower part of the right side of the Eixample']",calle de Bailèn,146 m²,1st,with lift,,"Superb refurbished apartment with original features in the best area of Eixample.
This recently refurbished property is in a perfect state of conservation, so it's practically brand new. It's located in ""Quadrat d'Or"" (""Golden Square""), in the lower part of the right side of the Eixample, the most"
32,Penthouse,/en/inmueble/101380211/,"990,000€","['\n\n\n\n\n\n\nPenthouse in calle del Consell de Cent', "" La Dreta de l'Eixample"", ' Barcelona\n\n\n990', '000€\n\n\n2 bed.\n108 m²\n7th floor exterior with lift\n\n\nPenthouse with terrace for sale in Eixample Dreta', ' Barcelona\nMagnificent penthouse with beautiful views of the entire city', ' ideally located in one of the most sought-after neighborhoods in the city of Barcelona', ' in the magnificent Eixample Dreta neighborhood']",calle del Consell de Cent,108 m²,7th,with lift,,"Penthouse with terrace for sale in Eixample Dreta, Barcelona
Magnificent penthouse with beautiful views of the entire city, ideally located in one of the most sought-after neighborhoods in the city of Barcelona, in the magnificent Eixample Dreta neighborhood, a few steps from the Girona L4 metro st"
33,Flat,/en/inmueble/98261311/,"1,925,000€","['\n\n\n\n\n\n\nFlat in paseo de Gràcia', "" La Dreta de l'Eixample"", ' Barcelona\n\n\n1', '925', '000€\n\n\n2 bed.\n168 m²\n1st floor exterior with lift\n\n\nExclusive house of 143sqm built and 23sqm of terrace', ' distributed in a bright living room with access to two pleasant balconies. The kitchen is open plan and comes fully equipped with high-end appliances (including a Liebherr wine fridge). Through the distributor we access the night area']",paseo de Gràcia,168 m²,1st,with lift,,"Exclusive house of 143sqm built and 23sqm of terrace, distributed in a bright living room with access to two pleasant balconies. The kitchen is open plan and comes fully equipped with high-end appliances (including a Liebherr wine fridge). Through the distributor we access the night area, where we w"
34,Flat,/en/inmueble/100517004/,"1,295,000€","['\n\n\n\n\n\n\nFlat in ronda Sant Pere', "" La Dreta de l'Eixample"", ' Barcelona\n\n\n1', '295', '000€\n\n\n3 bed.\n190 m²\n1st floor exterior with lift\n\n\nExcellent refurbished upscale apartment in a regal estate building in Eixample.\nThis pristine property is located between Paseo de Gracia and Paseo Sant Joan', "" one of the best areas of Eixample's right side""]",ronda Sant Pere,190 m²,1st,with lift,,"Excellent refurbished upscale apartment in a regal estate building in Eixample.
This pristine property is located between Paseo de Gracia and Paseo Sant Joan, one of the best areas of Eixample's right side, just a few steps away from the city centre. It's located on the first floor of a regal estat"
35,Flat,/en/inmueble/99079061/,"1,800,000€","['\n\n\n\n\n\n\nFlat in calle de Ausias March', "" La Dreta de l'Eixample"", ' Barcelona\n\n\n1', '800', '000€\n\n\n4 bed.\n216 m²\n3rd floor exterior with lift\n\n\nExcellent and refurbished luxury apartment with original features in Eixample.\nThis recently refurbished apartment is located very close to Paseo Sant Joan']",calle de Ausias March,216 m²,3rd,with lift,,"Excellent and refurbished luxury apartment with original features in Eixample.
This recently refurbished apartment is located very close to Paseo Sant Joan, one of the most sought-after areas of Barcelona's Eixample and just a few metres from the Arc de Triomf and the Parc de la Ciutadella.
The fl"
36,Flat,/en/inmueble/98255536/,"2,800,000€","['\n\n\n\n\n\n\nFlat in paseo de Gràcia', "" La Dreta de l'Eixample"", ' Barcelona\n\n\n2', '800', '000€\n\n\n4 bed.\n248 m²\n1st floor exterior with lift\n\n\nBrand new apartment with terrace and pool in Paseo de Gracia', ' Barcelona\nExclusive property of 218sqm built and 28sqm of terrace distributed in a spacious and bright living room with access to 2 balconies', ' a pleasant and sunny dining room']",paseo de Gràcia,248 m²,1st,with lift,,"Brand new apartment with terrace and pool in Paseo de Gracia, Barcelona
Exclusive property of 218sqm built and 28sqm of terrace distributed in a spacious and bright living room with access to 2 balconies, a pleasant and sunny dining room, independent kitchen with double access and breakfast bar. It"
37,Flat,/en/inmueble/100287105/,"1,595,000€","['\n\n\n\n\n\n\nFlat in calle de Girona', "" La Dreta de l'Eixample"", ' Barcelona\n\n\n1', '595', '000€\n\n\n1', '695']",calle de Girona,185 m²,3rd,with lift,,This newly renovated and high-quality exclusive apartment is located on the main floor in the heart of the city in a classical and perfectly maintained Eixample building with a historic elevator and community roof terrace. This splendid property has been completely renovated with the highest quality
38,Flat,/en/inmueble/101368744/,"795,000€","['\n\n\n\n\n\n\nFlat in La Vila Olímpica del Poblenou', ' Barcelona\n\n\n795', '000€\nParking included\n\n\n850', '000 €\n\n6%\n\n\n\n4 bed.\n126 m²\n7th floor exterior with lift\n\n\nApartment for sale with excellent sea views in Villa Olímpica', ' Barcelona\nApartment for sale with excellent sea views in Villa Olímpica on the seafront. From here we can contemplate the vast sky and area of parks and gardens. Located in front of the sea and a few steps from Platja de la Nova Icaria']",La Vila Olímpica del Poblenou,126 m²,7th,with lift,Parking included,"Apartment for sale with excellent sea views in Villa Olímpica, Barcelona
Apartment for sale with excellent sea views in Villa Olímpica on the seafront. From here we can contemplate the vast sky and area of parks and gardens. Located in front of the sea and a few steps from Platja de la Nova Icaria,"
39,Flat,/en/inmueble/101043384/,"1,295,000€","['\n\n\n\n\n\n\nFlat in rambla de Catalunya', "" La Dreta de l'Eixample"", ' Barcelona\n\n\n1', '295', '000€\n\n\n3 bed.\n145 m²\n2nd floor exterior with lift\n\n\nStunning refurbished luxury apartment in a 1910 building in Rambla Catalunya.\nThis spectacular brand new refurbished property with high quality finishings is located on Rambla Catalunya near Consell de Cent', "" both semi-pedestrian streets. It's in an enviable location in the city""]",rambla de Catalunya,145 m²,2nd,with lift,,"Stunning refurbished luxury apartment in a 1910 building in Rambla Catalunya.
This spectacular brand new refurbished property with high quality finishings is located on Rambla Catalunya near Consell de Cent, both semi-pedestrian streets. It's in an enviable location in the city, in the heart of the"
40,Flat,/en/inmueble/98286608/,"1,550,000€","[""\n\n\n\n\n\n\nFlat in calle d'Alí Bei"", "" La Dreta de l'Eixample"", ' Barcelona\n\n\n1', '550', '000€\n\n\n5 bed.\n228 m²\n2nd floor exterior with lift\n\n\nLocated in the elegant Eixample Right', ' a few meters from the Passeig de Gracia and the Plaza de Cataluña', ' this 220sqm property has recently been perfectly renovated by an artist', ' with old elements collected from around the world.\nIt consists of 1 double suite', ' 1 single suite']",calle d'Alí Bei,228 m²,2nd,with lift,,"Located in the elegant Eixample Right, a few meters from the Passeig de Gracia and the Plaza de Cataluña, this 220sqm property has recently been perfectly renovated by an artist, with old elements collected from around the world.
It consists of 1 double suite, 1 single suite, 2 double rooms and 1"
41,Flat,/en/inmueble/99418110/,"1,390,000€","['\n\n\n\n\n\n\nFlat in rambla de Catalunya', "" La Dreta de l'Eixample"", ' Barcelona\n\n\n1', '390', '000€\n\n\n5 bed.\n182 m²\n4th floor exterior with lift\n\n\nBeautiful flat in Rambla Catalunya\nEngel & Völkers presents this wonderful apartment located on Rambla Catalunya and next to Consell de cent']",rambla de Catalunya,182 m²,4th,with lift,,"Beautiful flat in Rambla Catalunya
Engel & Völkers presents this wonderful apartment located on Rambla Catalunya and next to Consell de cent, one of the new green axes in the city center.
The apartment is located on the fourth floor of an elegant and well-kept royal estate. It stands out for its per"
