,type,reference,price,district,street,area,plant,lift,parking,description
10,Flat,/en/inmueble/101571602/,"425,000€","['\n\n\n\n\n\n\nFlat in calle de la Diputació', "" La Nova Esquerra de l'Eixample"", ' Barcelona\n\n\n425', '000€\n\n\n435', '000 €\n\n2%\n\n\n\n3 bed.\n88 m²\n3rd floor exterior with lift\n\n\nCozy apartment in the heart of Eixample\nRenovated furnished apartment with 3 bedrooms']",calle de la Diputació,88 m²,3rd,with lift,,"Cozy apartment in the heart of Eixample
Renovated furnished apartment with 3 bedrooms, 3 double beds. Living room well decorated and good quality furniture. The appliances are new. The dining room connects with the living room and a balcony to Diputació street.
Located in the heart of the Eixample."
11,Flat,/en/inmueble/101029410/,"975,000€","[""\n\n\n\n\n\n\nFlat in La Dreta de l'Eixample"", ' Barcelona\n\n\n975', '000€\n\n\n1 bed.\n103 m²\n3rd floor exterior with lift\n\n\nPASEO DE GRACIA - GRAN VÍA modern brand new apartment on Paseo de Gracia', ' in the heart of Barcelona']",La Dreta de l'Eixample,103 m²,3rd,with lift,,"PASEO DE GRACIA - GRAN VÍA modern brand new apartment on Paseo de Gracia, in the heart of Barcelona, offers a unique and great investment opportunity as it has a tourist license with the possibility of accommodating five people. This magnificent apartment is distributed in such a way that it allows"
12,Flat,/en/inmueble/99803688/,"840,000€","['\n\n\n\n\n\n\nFlat in Sarrià', ' Barcelona\n\n\n840', '000€\nParking included\n\n\n5 bed.\n125 m²\n1st floor with lift\n\n\nMAYOR DE SARRIA - SAGRADO CORAZÓN SCHOOL in Living we present this property exclusively. Located in the heart of Sarriá', ' this property reflects the soul of Sarriá', ' its shops', ' its gastronomic offer', "" its schools... so comfortable and peaceful that coming home is... it's a pleasure! 111 m2 useful""]",Sarrià,125 m²,1st,lift,Parking included,"MAYOR DE SARRIA - SAGRADO CORAZÓN SCHOOL in Living we present this property exclusively. Located in the heart of Sarriá, this property reflects the soul of Sarriá, its shops, its gastronomic offer, its schools... so comfortable and peaceful that coming home is... it's a pleasure! 111 m2 useful, good"
13,Flat,/en/inmueble/100375294/,"550,000€","['\n\nFlat in ronda de la Universitat', "" La Dreta de l'Eixample"", ' Barcelona\n\n\n550', '000€\n\n\n3 bed.\n110 m²\n3rd floor interior with lift\n\n\nLive in the right in the center of the city', ' next to all kinds of services and public transportation. And do not worry about the noise', ' as this flat faces a quiet and luminous patio of the block.\nYou may want to do some updates in kitchen and bathrooms', ' but the apartment is ready to move in']",ronda de la Universitat,110 m²,3rd,with lift,,"Live in the right in the center of the city, next to all kinds of services and public transportation. And do not worry about the noise, as this flat faces a quiet and luminous patio of the block.
You may want to do some updates in kitchen and bathrooms, but the apartment is ready to move in, well m"
14,Detached,/en/inmueble/99673590/,"660,000€","['\n\nDetached house in Passatge de Núria', ' La Sagrada Família', ' Barcelona\n\n\n660', '000€\n\n\n5 bed.\n145 m²\n\n\nIn a private passageway in the heart of Eixample', ' an unbeatable location.\nHouse with 2 floors of 200m2', ' 157m2 useful plus a 43m2 terrace on two levels.\n5 bedrooms']",Passatge de Núria,145 m²,,,,"In a private passageway in the heart of Eixample, an unbeatable location.
House with 2 floors of 200m2, 157m2 useful plus a 43m2 terrace on two levels.
5 bedrooms, 4 doubles and a dressing room with fitted wardrobes. All rooms have windows to the outside. Double presidential suite with full bathroom"
15,Flat,/en/inmueble/100018689/,"169,100€","['\n\nFlat in calle de les Torres', ' Les Roquetes', ' Barcelona\n\n\n169', '100€\n\n\n4 bed.\n110 m²\n3rd floor exterior without lift\n\n\n110 m² apartment built 87 m² useful according to cadastre', ' third real floor without elevator', ' divided into living-dining room with access to balcony', ' independent kitchen', ' four bedrooms -two doubles and two singles- and bathroom. Community terrace.\nLocated in the heart of Barcelona']",calle de les Torres,110 m²,3rd,without lift,,"110 m² apartment built 87 m² useful according to cadastre, third real floor without elevator, divided into living-dining room with access to balcony, independent kitchen, four bedrooms -two doubles and two singles- and bathroom. Community terrace.
Located in the heart of Barcelona, very close to C-1"
16,Flat,/en/inmueble/101184322/,"649,000€","['\n\n\n\n\n\n\nFlat in calle de Rocafort', "" La Nova Esquerra de l'Eixample"", ' Barcelona\n\n\n649', '000€\n\n\n680']",calle de Rocafort,170 m²,1st,with lift,,"Bright apartment to refurbish in Eixample
propiedad This great apartment to be renovated is located in a corner building next to the new Super Illa. It's very spacious and bright due to its many windows. This apartment of 170 m2 consists of 5 rooms of which there are 3 double bedrooms and 2 individu"
17,Flat,/en/inmueble/101606351/,"350,000€","[""\n\n\n\n\n\n\nFlat in calle d'Emèrita Augusta"", ' La Maternitat i Sant Ramon', ' Barcelona\n\n\n350', ""000€\n\n\n4 bed.\n75 m²\n7th floor exterior with lift\n\n\nThis unfurnished flat is at Carrer d'Emèrita Augusta"", ' 08028', ' Barcelona', ' Barcelona', ' is in the district of Les Corts', ' on floor 7. It is a flat', ' built in 1969', "" that has 75 m2 of which 70 m2 are useful and has 4 rooms and 1 bathrooms.\nWatch the property's video at\nBesides"", ' it includes wardrobe']",calle d'Emèrita Augusta,75 m²,7th,with lift,,"This unfurnished flat is at Carrer d'Emèrita Augusta, 08028, Barcelona, Barcelona, is in the district of Les Corts, on floor 7. It is a flat, built in 1969, that has 75 m2 of which 70 m2 are useful and has 4 rooms and 1 bathrooms.
Watch the property's video at
Besides, it includes wardrobe, luminou"
18,Penthouse,/en/inmueble/101284656/,"1,140,000€","[""\n\n\n\n\n\n\nPenthouse in La Nova Esquerra de l'Eixample"", ' Barcelona\n\n\n1', '140', '000€\n\n\n5 bed.\n182 m²\n8th floor exterior with lift\n\n\nROSELLÓ-ENTENÇA in Living we present this extraordinary duplex penthouse located in one of the best areas of Eixample Izquierdo']",La Nova Esquerra de l'Eixample,182 m²,8th,with lift,,"ROSELLÓ-ENTENÇA in Living we present this extraordinary duplex penthouse located in one of the best areas of Eixample Izquierdo, very well connected and close to all services. This property enjoys an unbeatable terrace with afternoon sun in front of the living room and a spacious solarium with 360 d"
19,Flat,/en/inmueble/99966827/,"590,000€","['\n\nFlat in plaza de Sants', ' Sants', ' Barcelona\n\n\n590', '000€\n\n\n5 bed.\n165 m²\n14th floor exterior with lift\n\n\nIn the heart of Sants. Impressive apartment with 5 bedrooms and two bathrooms. Panoramic views', ' totally exterior. Sunny and very bright. Very coherent distribution']",plaza de Sants,165 m²,14th,with lift,,"In the heart of Sants. Impressive apartment with 5 bedrooms and two bathrooms. Panoramic views, totally exterior. Sunny and very bright. Very coherent distribution, with a large hall that leads us to a generous 25m2 living room from which we can access the kitchen and service room that together can"
20,Flat,/en/inmueble/100692923/,"295,355€","['\n\nFlat in calle de Còrsega', "" El Camp de l'Arpa del Clot"", ' Barcelona\n\n\n295', '355€\n\n\n4 bed.\n65 m²\n1st floor exterior with lift\n\n\nLLarcelona sells this fantastic apartment located on the second floor of a beautiful classic building with an elevator.\nThe house is distributed in 3 bedrooms (previously 4)', ' one double with access to a balcony and two singles', ' dining room', ' living room (former bedroom) with access to a balcony']",calle de Còrsega,65 m²,1st,with lift,,"LLarcelona sells this fantastic apartment located on the second floor of a beautiful classic building with an elevator.
The house is distributed in 3 bedrooms (previously 4), one double with access to a balcony and two singles, dining room, living room (former bedroom) with access to a balcony, hall"
21,Flat,/en/inmueble/84114683/,"1,600,000€","['\n\nFlat in rambla de Cataluña', ' Barcelona', "" La Dreta de l'Eixample"", ' Barcelona\n\n\n1', '600']",rambla de Cataluña,180 m²,6th,with lift,,"SuiteLife Barcelona Presents…. Ref
SLS0150 “Silk Pijamas” / Lovers in a Dangerous Time / Romeo and Juliette
You will love this top of the line apartment from the second you walk in and are charmed by it’s beautiful chevron hardwood flooring and it’s unique and sleek hallway. The flat is newly ren"
22,Flat,/en/inmueble/101620696/,"470,000€","[""\n\nFlat in calle d'Aragó"", "" La Dreta de l'Eixample"", ' Barcelona\n\n\n470', ""000€\n\n\n3 bed.\n79 m²\n6th floor exterior with lift\n\n\nHousing located in the Quadrat d'or"", "" in the dreta de l'eixample.\nIt has a total area of 84 square meters\nSeventh real floor with elevator.\nNatural light all day"", ' since the height of the house and its orientation to the South allow it.\nIt is distributed in 3 rooms']",calle d'Aragó,79 m²,6th,with lift,,"Housing located in the Quadrat d'or, in the dreta de l'eixample.
It has a total area of 84 square meters
Seventh real floor with elevator.
Natural light all day, since the height of the house and its orientation to the South allow it.
It is distributed in 3 rooms, all of them exterior.
Full 4-piece"
23,Flat,/en/inmueble/100979333/,"196,000€","['\n\nFlat in calle del Santuari', ' El Coll', ' Barcelona\n\n\n196', '000€\n\n\n3 bed.\n62 m²\n2nd floor exterior with lift\n\n\nOnce upon a time there was a beautiful apartment in the area of La Teixonera', ' in Barcelona.Located on Calle Santuario', ' this apartment renovated with excellent quality materials was the perfect home for anyone looking for a quiet space well located in the city.\nUpon entering the apartment']",calle del Santuari,62 m²,2nd,with lift,,"Once upon a time there was a beautiful apartment in the area of La Teixonera, in Barcelona.Located on Calle Santuario, this apartment renovated with excellent quality materials was the perfect home for anyone looking for a quiet space well located in the city.
Upon entering the apartment, one was s"
24,Flat,/en/inmueble/98932013/,"1,150,000€","['\n\nFlat in calle de Ganduxer', ' Les Tres Torres', ' Barcelona\n\n\n1', '150', '000€\nParking included\n\n\n4 bed.\n232 m²\n2nd floor exterior with lift\n\n\n200 m2 apartment and two terraces of 12 m2 and 16 m2 for sale on Calle Ganduxer in Barcelona.\nVery bright house with a facade facing three streets', ' distributed in:\nLarge hall', ' office-library']",calle de Ganduxer,232 m²,2nd,with lift,Parking included,"200 m2 apartment and two terraces of 12 m2 and 16 m2 for sale on Calle Ganduxer in Barcelona.
Very bright house with a facade facing three streets, distributed in:
Large hall, office-library, 40 m2 living-dining room with fireplace and exit to one of the terraces that is on the corner with the enti"
25,Flat,/en/inmueble/101609530/,"899,000€","[""\n\n\n\n\n\n\nFlat in L'Antiga Esquerra de l'Eixample"", ' Barcelona\n\n\n899', '000€\n\n\n3 bed.\n129 m²\n1st floor exterior with lift\n\n\nSpacious and centrally located', ' totally refurbished in Eixample\nWe present this spectacular newly refurbished flat', ' in one of the most central areas of the city', ' considered by many', ' the heart of Barcelona with a large collection of modernist buildings.\nOn entering we find a spacious hall']",L'Antiga Esquerra de l'Eixample,129 m²,1st,with lift,,"Spacious and centrally located, totally refurbished in Eixample
We present this spectacular newly refurbished flat, in one of the most central areas of the city, considered by many, the heart of Barcelona with a large collection of modernist buildings.
On entering we find a spacious hall, which give"
26,Penthouse,/en/inmueble/99733525/,"725,000€","['\n\nPenthouse in paseo de Sant Joan', "" El Camp d'En Grassot i Gràcia Nova"", ' Barcelona\n\n\n725', '000€\n\n\n750', '000 €\n\n3%\n\n\n\n3 bed.\n99 m²\n9th floor exterior with lift\n\n\nLocated on one of the most beautiful and sought-after promenades in Barcelona']",paseo de Sant Joan,99 m²,9th,with lift,,"Located on one of the most beautiful and sought-after promenades in Barcelona, we present this exclusive penthouse due to its two level terraces (one currently covered) and its beautiful and unobstructed views of the Sagrada Familia and also Passeig de Sant Joan.
It is located on the ninth floor of"
27,Penthouse,/en/inmueble/100797571/,"195,000€","['\n\nPenthouse in santa rosalia', ' La Teixonera', ' Barcelona\n\n\n195', '000€\n\n\n2 bed.\n65 m²\n4th floor exterior without lift\n\n\nMagnificent Penthouse of 45 M2.\n1 Terrace of 20 M2. + Office on the terrace.\n1 Balcony (adjacent to C/ Cardedeu-Veciana).\nDispose of:\nLiving room.\n2 rooms.\nBathroom with shower.\nKitchen ( Exterior views ).\nAluminum enclosures.\nIt has an alarm', ' security door.\nVery bright.\nFarm in perfect condition']",santa rosalia,65 m²,4th,without lift,,"Magnificent Penthouse of 45 M2.
1 Terrace of 20 M2. + Office on the terrace.
1 Balcony (adjacent to C/ Cardedeu-Veciana).
Dispose of:
Living room.
2 rooms.
Bathroom with shower.
Kitchen ( Exterior views ).
Aluminum enclosures.
It has an alarm, security door.
Very bright.
Farm in perfect condition,"
28,Duplex,/en/inmueble/101392682/,"1,095,000€","['\n\n\n\n\n\n\nDuplex in El Poble Sec - Parc de Montjuïc', ' Barcelona\n\n\n1', '095', '000€\n\n\n5 bed.\n189 m²\n5th floor exterior with lift\n\n\nCENTURY21 WELHOME exclusively sells this unique DUPLEX PENTHOUSE.Framed in the center of Barcelona', ' 5 minutes from Pça.Spain and a 15-minute walk from Pça Catalunya and La Rambla', ' we find this unique piece of its kind\nIt is a house with 5 bedrooms']",El Poble Sec - Parc de Montjuïc,189 m²,5th,with lift,,"CENTURY21 WELHOME exclusively sells this unique DUPLEX PENTHOUSE.Framed in the center of Barcelona, 5 minutes from Pça.Spain and a 15-minute walk from Pça Catalunya and La Rambla, we find this unique piece of its kind
It is a house with 5 bedrooms, 2 bathrooms and 1 toilet.On the lower floor the da"
29,Flat,/en/inmueble/99561116/,"110,000€","['\n\n\n\n\n\n\nFlat in camino de la Verneda', ' La Verneda i la Pau', ' Barcelona\n\n\n110', '000€\n\n\n120', '000 €\n\n8%\n\n\n\n2 bed.\n51 m²\n2nd floor exterior with lift\n\n\nAPARTMENT OCCUPIED BY PERSON WITHOUT FAIR TITLE THIS PROPERTY DUE TO ITS OCCUPATIONAL STATE DOES NOT ALLOW VISITS 51 m² apartment', ' according to Cadastre']",cam,51 m²,2nd,with lift,,"APARTMENT OCCUPIED BY PERSON WITHOUT FAIR TITLE THIS PROPERTY DUE TO ITS OCCUPATIONAL STATE DOES NOT ALLOW VISITS 51 m² apartment, according to Cadastre, distributed in several units. It is a 2nd floor in a block with an elevator. Well connected by public transport and road. There are all kinds of s"
30,Penthouse,/en/inmueble/100797571/,"195,000€","['\n\nPenthouse in santa rosalia', ' La Teixonera', ' Barcelona\n\n\n195', '000€\n\n\n2 bed.\n65 m²\n4th floor exterior without lift\n\n\nMagnificent Penthouse of 45 M2.\n1 Terrace of 20 M2. + Office on the terrace.\n1 Balcony (adjacent to C/ Cardedeu-Veciana).\nDispose of:\nLiving room.\n2 rooms.\nBathroom with shower.\nKitchen ( Exterior views ).\nAluminum enclosures.\nIt has an alarm', ' security door.\nVery bright.\nFarm in perfect condition']",santa rosalia,65 m²,4th,without lift,,"Magnificent Penthouse of 45 M2.
1 Terrace of 20 M2. + Office on the terrace.
1 Balcony (adjacent to C/ Cardedeu-Veciana).
Dispose of:
Living room.
2 rooms.
Bathroom with shower.
Kitchen ( Exterior views ).
Aluminum enclosures.
It has an alarm, security door.
Very bright.
Farm in perfect condition,"
31,Penthouse,/en/inmueble/98512318/,"190,000€","['\n\n\n\n\n\n\nPenthouse in El Carmel', ' Barcelona\n\n\n190', '000€\n\n\n195', '000 €\n\n3%\n\n\n\n3 bed.\n69 m²\n4th floor exterior\n\n\nPENTHOUSE IN C/LUGO WITH LARGE TERRACE. The penthouse that we offer you has 3 rooms on the top floor of the building without neighbors. The 25 m2 terrace has views over all of Barcelona']",El Carmel,69 m²,4th,,,"PENTHOUSE IN C/LUGO WITH LARGE TERRACE. The penthouse that we offer you has 3 rooms on the top floor of the building without neighbors. The 25 m2 terrace has views over all of Barcelona, with a view of the sea. It has a large renovated kitchen. Renovated bathroom. Radiator heating. Parquet floor. Ve"
32,Flat,/en/inmueble/101604431/,"690,000€","['\n\n\n\n\n\n\nFlat in calle de la Fruita', ' El Gòtic', ' Barcelona\n\n\n690']",calle de la Fruita,135 m²,1st,with lift,,"We present this newly renovated apartment in a very quiet street in the emblematic Gothic Quarter.
The property is very spacious and is divided into two areas: day area and night area.
Upon entering we find a large entrance hall that leads to a hallway that leads to a large living room with an ope"
33,Flat,/en/inmueble/101615268/,"315,000€","['\n\nFlat in calle de Chapí', ' Horta', ' Barcelona\n\n\n315', '000€\nParking included\n\n\n2 bed.\n86 m²\nGround floor with lift\n\n\nBright duplex with terrace. Under duplex that you can access directly from Chapí street', ' it is located in a 2003 farm', ' very well preserved. It offers you bright spaces', ' with a very good distribution and use of its spaces. It is an exterior property with neighboring low-rise farms']",calle de Chapí,86 m²,Ground,lift,Parking included,"Bright duplex with terrace. Under duplex that you can access directly from Chapí street, it is located in a 2003 farm, very well preserved. It offers you bright spaces, with a very good distribution and use of its spaces. It is an exterior property with neighboring low-rise farms, both on the façade"
34,Flat,/en/inmueble/100882871/,"535,000€","['\n\n\n\n\n\n\nFlat in avenida de Josep Tarradellas', ' 119', ' Les Corts', ' Barcelona\n\n\n535', '000€\n\n\n3 bed.\n106 m²\n5th floor exterior with lift\n\n\nMagnificent apartment located in the Les Corts district', ' one of the most appreciated neighborhoods in the city', ' where green and quiet areas converge with all kinds of services necessary for day-to-day life such as shops']",avenida de Josep Tarradellas,106 m²,5th,with lift,,"Magnificent apartment located in the Les Corts district, one of the most appreciated neighborhoods in the city, where green and quiet areas converge with all kinds of services necessary for day-to-day life such as shops, restaurants and leisure. It is less than 10 minutes away from areas such as Pla"
35,Flat,/en/inmueble/98210897/,"427,250€","['\n\nFlat in calle de Guillem Tell', ' Nn', ' El Putxet i el Farró', ' Barcelona\n\n\n427', '250€\n\n\n1 bed.\n50 m²\n3rd floor exterior with lift\n\n\nBeautiful apartment of 49m2 built', ' community terrace of 49m2 with swimming pool on the roof of the building and 1 balcony of 4m2. Located on the third floor of a new building in the exclusive neighborhood of Putxet i el Farró']",calle de Guillem Tell,50 m²,3rd,with lift,,"Beautiful apartment of 49m2 built, community terrace of 49m2 with swimming pool on the roof of the building and 1 balcony of 4m2. Located on the third floor of a new building in the exclusive neighborhood of Putxet i el Farró, just a few minutes from Plaza Lesseps and Plaza Molina.
This magnificent"
36,Penthouse,/en/inmueble/98287086/,"1,490,000€","['\n\nPenthouse in calle de Guillem Tell', ' Nn', ' El Putxet i el Farró', ' Barcelona\n\n\n1', '490', '000€\n\n\n3 bed.\n169 m²\n4th floor exterior with lift\n\n\nBeautiful apartment of 49m2 built', ' community terrace of 49m2 with swimming pool on the roof of the building and 1 balcony of 4m2. Located on the third floor of a new building in the exclusive neighborhood of Putxet i el Farró']",calle de Guillem Tell,169 m²,4th,with lift,,"Beautiful apartment of 49m2 built, community terrace of 49m2 with swimming pool on the roof of the building and 1 balcony of 4m2. Located on the third floor of a new building in the exclusive neighborhood of Putxet i el Farró, just a few minutes from Plaza Lesseps and Plaza Molina.
This magnificent"
37,Flat,/en/inmueble/96509669/,"410,000€","['\n\n\n\n\n\n\nFlat in calle de Sant Elies', ' 1', ' Sant Gervasi - Galvany', ' Barcelona\n\n\n410', '000€\n\n\n4 bed.\n98 m²\nGround floor exterior with lift\n\n\nGround floor apartment in a typical Barcelona royal building next to Plaza Molina.\nThe apartment (renovated) consists of a large outdoor dining room', ' separate kitchen (there is a project to make the kitchen open to the dining room).\n4 rooms']",calle de Sant Elies,98 m²,Ground,with lift,,"Ground floor apartment in a typical Barcelona royal building next to Plaza Molina.
The apartment (renovated) consists of a large outdoor dining room, separate kitchen (there is a project to make the kitchen open to the dining room).
4 rooms, all of them exterior and 2 bathrooms.
Laundry area (to loc"
38,Flat,/en/inmueble/101613384/,"395,000€","['\n\n\n\n\n\n\nFlat in plaza de les Olles', ' Nn', ' Sant Pere - Santa Caterina i la Ribera', ' Barcelona\n\n\n395', ""000€\n\n\n2 bed.\n80 m²\n4th floor \n\n\nBright and completely renovated apartment in a corner building overlooking one of the squares in El Born. It's located in the lower part of Born""]",plaza de les Olles,80 m²,4th,,,"Bright and completely renovated apartment in a corner building overlooking one of the squares in El Born. It's located in the lower part of Born, near the port and the beach.
Charming layout distributed on two levels with a small block of stairs dividing the apartment leaving the living room area w"
39,Flat,/en/inmueble/101537176/,"250,000€","['\n\n\n\n\n\n\nFlat in calle de Guifré', ' El Raval', ' Barcelona\n\n\n250', '000€\nGarage optional 20', '000 €\n\n\n1 bed.\n60 m²\n2nd floor exterior without lift\n\n\nAICAT 7252-Ancora Real Estate\nWE ATTEND REQUESTS BY WHATSAPP.\nFor more information', ' contact our sales team']",calle de Guifré,60 m²,2nd,without lift,"Garage optional 20,000 €","AICAT 7252-Ancora Real Estate
WE ATTEND REQUESTS BY WHATSAPP.
For more information, contact our sales team, we will attend to all requests but we will give priority to those in which we are provided with a contact telephone number.
Visit our private area by accessing through our logo in this adver"
40,Flat,/en/inmueble/100663693/,"1,050,000€","['\n\n\n\n\n\n\nFlat in plaza del Doctor Letamendi', "" L'Antiga Esquerra de l'Eixample"", ' Barcelona\n\n\n1', '050', '000€\n\n\n1', '200', '000 €\n\n13%\n\n\n\n7 bed.\n270 m²\n2nd floor exterior with lift\n\n\nThis impressive property to renovate has an area of 269 m²', ' and currently has seven double bedrooms', ' including the main bedroom', ' three bathrooms and an office with access to the interior gallery']",plaza del Doctor Letamendi,270 m²,2nd,with lift,,"This impressive property to renovate has an area of 269 m², and currently has seven double bedrooms, including the main bedroom, three bathrooms and an office with access to the interior gallery, but the layout can be transformed to adapt to the buyer's lifestyle and personal requirements.
The pro"
