,type,reference,price,district,street,area,rooms,plant,lift,parking,description
10,Flat,/en/inmueble/99947885/,"640,000€","[""\n\n\n\n\n\n\nFlat in L'Antiga Esquerra de l'Eixample"", ' Barcelona\n\n\n640', '000€\n\n\n750', '000 €\n\n15%\n\n\n\n3 bed.\n98 m²\n5th floor exterior with lift\n\n\nMagnificent flat in Eixample Esquerra\nIn a classic building of Eixample Esquerra we find this magnificent apartment of approximately 100 square meters with three bedrooms and two bathrooms.\nUpon entering we find ourselves in the landing hall and the only hallway of the apartment']",L'Antiga Esquerra de l'Eixample,98 m²,3 bed.,5th,with lift,,"Magnificent flat in Eixample Esquerra
In a classic building of Eixample Esquerra we find this magnificent apartment of approximately 100 square meters with three bedrooms and two bathrooms.
Upon entering we find ourselves in the landing hall and the only hallway of the apartment, where we have the f"
11,Flat,/en/inmueble/91264645/,"1,600,000€","[""\n\n\n\n\n\n\nFlat in La Dreta de l'Eixample"", ' Barcelona\n\n\n1', '600', '000€\n\n\n7 bed.\n219 m²\n3rd floor exterior with lift\n\n\nGreat property to renovate at Passeig de Gràcia\nEngel & Völkers presents this spectacular property to renovate in the best area of Passeig de Gràcia', ' one of the most sought-after and prestigious streets in the city', ' only two steps away from La Pedrera']",La Dreta de l'Eixample,219 m²,7 bed.,3rd,with lift,,"Great property to renovate at Passeig de Gràcia
Engel & Völkers presents this spectacular property to renovate in the best area of Passeig de Gràcia, one of the most sought-after and prestigious streets in the city, only two steps away from La Pedrera, one of the most emblematic buildings in Barcelo"
12,Flat,/en/inmueble/101161333/,"1,095,000€","[""\n\n\n\n\n\n\nFlat in La Dreta de l'Eixample"", ' Barcelona\n\n\n1', '095', '000€\n\n\n4 bed.\n252 m²\n1st floor exterior with lift\n\n\nProperty with terrace next to Passeig de Gràcia\nProperty located in a coveted area of the Eixample district. It is very close to the exclusive Passeig de Gràcia and Rambla de Catalunya']",La Dreta de l'Eixample,252 m²,4 bed.,1st,with lift,,"Property with terrace next to Passeig de Gràcia
Property located in a coveted area of the Eixample district. It is very close to the exclusive Passeig de Gràcia and Rambla de Catalunya, very well connected to the entire city.
It is located in a well-preserved 1930s building with a concierge service."
13,Detached,/en/inmueble/99880656/,"5,000,000€","['\n\n\n\n\n\n\nDetached house in Sant Gervasi - La Bonanova', ' Barcelona\n\n\n5', '000', '000€\nParking included\n\n\n6 bed.\n639 m²\n\n\nBeautiful Modernist house in Sant Gervasi\nThis is a beautiful Modernist style house completely renovated', ' with private garden and outdoor saltwater pool.\nThe house enjoys total privacy and the natural light that are distributed throughout it', ' as well as many other virtues']",Sant Gervasi - La Bonanova,639 m²,6 bed.,,,Parking included,"Beautiful Modernist house in Sant Gervasi
This is a beautiful Modernist style house completely renovated, with private garden and outdoor saltwater pool.
The house enjoys total privacy and the natural light that are distributed throughout it, as well as many other virtues, are one of its main value"
14,Duplex,/en/inmueble/101398852/,"1,190,000€","['\n\nDuplex in Sant Gervasi - Galvany', ' Barcelona\n\n\n1', '190', '000€\nParking included\n\n\n7 bed.\n230 m²\n2nd floor exterior with lift\n\n\n230m2 duplex in Sarria Sant Gervasi next to Vía Augusta and Ganduxer street\nIn a stately estate with a pool and common area we find a house on two floors in the best area of Sant Gervasi next to Via Augusta', ' with all services.\nThese are two entities', ' currently a house with 6 bedrooms', ' 3 bathrooms']",Sant Gervasi - Galvany,230 m²,7 bed.,2nd,with lift,Parking included,"230m2 duplex in Sarria Sant Gervasi next to Vía Augusta and Ganduxer street
In a stately estate with a pool and common area we find a house on two floors in the best area of Sant Gervasi next to Via Augusta, with all services.
These are two entities, currently a house with 6 bedrooms, 3 bathrooms,"
15,Detached,/en/inmueble/89229563/,"4,300,000€","['\n\n\n\n\n\n\nDetached house in Pedralbes', ' Barcelona\n\n\n4', '300', '000€\nParking included\n\n\n6 bed.\n710 m²\n\n\nWonderful house in Pedralbes with views\nIn the exclusive residential neighborhood of Pedralbes', ' and surrounded by the best international schools', ' almost 700 m2 on a plot of more than 1', '000 m2.\nThe house', ' in perfect condition']",Pedralbes,710 m²,6 bed.,,,Parking included,"Wonderful house in Pedralbes with views
In the exclusive residential neighborhood of Pedralbes, and surrounded by the best international schools, almost 700 m2 on a plot of more than 1,000 m2.
The house, in perfect condition, is distributed over 4 floors and enjoys great tranquility and wonderful vi"
16,Flat,/en/inmueble/101626435/,"295,000€","['\n\nFlat in avenida del Paral·lel', ' El Poble Sec - Parc de Montjuïc', ' Barcelona\n\n\n295', '000€\n\n\n3 bed.\n82 m²\n5th floor exterior with lift\n\n\nApartment to reform', ' building with elevator', ' a few steps from the Poble Sec metro', ' 3 bedrooms', ' two doubles and one medium', ' all exterior with windows to the street', ' kitchen with utility room', ' hall', ' bathroom', ' living room with access to a terrace and views of Avda. Parallel. Afternoon sun']",avenida del Paral·lel,82 m²,3 bed.,5th,with lift,,"Apartment to reform, building with elevator, a few steps from the Poble Sec metro, 3 bedrooms, two doubles and one medium, all exterior with windows to the street, kitchen with utility room, hall, bathroom, living room with access to a terrace and views of Avda. Parallel. Afternoon sun, excellent ar"
17,Flat,/en/inmueble/100610106/,"1,285,000€","[""\n\n\n\n\n\n\nFlat in calle d'Alí Bei"", "" La Dreta de l'Eixample"", ' Barcelona\n\n\n1', '285', '000€\n\n\n1', '385', '000 €\n\n7%\n\n\n\n4 bed.\n184 m²\n2nd floor exterior with lift\n\n\nWonderful unit next to Passeig Sant Joan\nIn a beautiful listed estate from the beginning of the 20th century', ' we find this magnificent and elegant property renovated by its owners a few years ago. The 184m2 apartment has the day area facing the street with sea orientation']",calle d'Alí Bei,184 m²,4 bed.,2nd,with lift,,"Wonderful unit next to Passeig Sant Joan
In a beautiful listed estate from the beginning of the 20th century, we find this magnificent and elegant property renovated by its owners a few years ago. The 184m2 apartment has the day area facing the street with sea orientation, and the night part facing"
18,Penthouse,/en/inmueble/100809439/,"599,000€","['\n\n\n\n\n\n\nPenthouse in La Salut', ' Barcelona\n\n\n599', '000€\nGarage optional 35', '000 €\n\n\n3 bed.\n105 m²\n6th floor exterior with lift\n\n\nPenthouse with terrace and views in La Salut\nFantastic 98 sqm penthouse', ' totally exterior and very bright', ' with a large terrace facing Southwest']",La Salut,105 m²,3 bed.,6th,with lift,"Garage optional 35,000 €","Penthouse with terrace and views in La Salut
Fantastic 98 sqm penthouse, totally exterior and very bright, with a large terrace facing Southwest, located in a landscaped residential complex in La Salut.
Upon entering we find ourselves in a comfortable hall from which a corridor leads us to a very br"
19,Flat,/en/inmueble/93738105/,"1,450,000€","['\n\n\n\n\n\n\nFlat in Sant Gervasi - Galvany', ' Barcelona\n\n\n1', '450', '000€\nParking included\n\n\n4 bed.\n200 m²\n4th floor exterior with lift\n\n\nFantastic high apartment near Turó Parc\nIn an excellent location in the Galvany neighborhood', ' in one of the most prestigious streets and close to Turó Parc', ' we present this magnificent high and bright apartment thanks to its double orientation. Apartment of approximately 200sqm built']",Sant Gervasi - Galvany,200 m²,4 bed.,4th,with lift,Parking included,"Fantastic high apartment near Turó Parc
In an excellent location in the Galvany neighborhood, in one of the most prestigious streets and close to Turó Parc, we present this magnificent high and bright apartment thanks to its double orientation. Apartment of approximately 200sqm built, with spacious"
20,Flat,/en/inmueble/101581609/,"665,000€","['\n\n\n\n\n\n\nFlat in Sant Pere - Santa Caterina i la Ribera', ' Barcelona\n\n\n665', '000€\n\n\n3 bed.\n110 m²\n3rd floor exterior with lift\n\n\nApartment completely renovated in the Born\nWe present this spectacular renovated apartment in one of the most bohemian areas of the city']",Sant Pere - Santa Cater,110 m²,3 bed.,3rd,with lift,,"Apartment completely renovated in the Born
We present this spectacular renovated apartment in one of the most bohemian areas of the city, considered inspiration for artists and cultural mix.
Upon entering the property we find a large living room with kitchen with dining table integrated and very spa"
21,Flat,/en/inmueble/100266484/,"500,000€","[""\n\n\n\n\n\n\nFlat in La Dreta de l'Eixample"", ' Barcelona\n\n\n500', '000€\n\n\n3 bed.\n100 m²\n2nd floor exterior with lift\n\n\nMagnificent apartment to renovate in Eixample\nIn the heart of Eixample Dret', ' a few meters from Passeig de Gràcia and next to the Concepción market', ' we find this spectacular corner apartment']",La Dreta de l'Eixample,100 m²,3 bed.,2nd,with lift,,"Magnificent apartment to renovate in Eixample
In the heart of Eixample Dret, a few meters from Passeig de Gràcia and next to the Concepción market, we find this spectacular corner apartment, located in a royal building from 1900 on Bruc street.
The apartment is currently divided into a day area and"
22,Flat,/en/inmueble/96153475/,"780,000€","['\n\n\n\n\n\n\nFlat in El Raval', ' Barcelona\n\n\n780', '000€\n\n\n3 bed.\n171 m²\n exterior with lift\n\n\nGrandiose apartment in restored building\nMajestic apartment with double height ceilings']",El Raval,171 m²,3 bed.,,,,"Grandiose apartment in restored building
Majestic apartment with double height ceilings, three balconies facing the street and a terrace with a patio. Restored regal estate on the Rambla de Catalunya.
The entrance to the apartment leads to a hall that leads to a big living room with access to a terr"
23,Flat,/en/inmueble/100757414/,"325,000€","['\n\n\n\n\n\n\nFlat in plaza Cosmos', ' El Carmel', ' Barcelona\n\n\n325', '000€\nGarage optional 20', '000 €\n\n\n345', '000 €\n\n6%\n\n\n\n3 bed.\n93 m²\n1st floor exterior with lift\n\n\nApartment with terrace and views in La Teixonera\nEngel&Völkers exclusively presents this beautiful exterior apartment with terrace and parking. It is an apartment with double orientation', ' very bright', ' located on the first floor of a building from 2008']",plaza Cosmos,93 m²,3 bed.,1st,with lift,"Garage optional 20,000 €","Apartment with terrace and views in La Teixonera
Engel&Völkers exclusively presents this beautiful exterior apartment with terrace and parking. It is an apartment with double orientation, very bright, located on the first floor of a building from 2008, with parking on the same building for cars and"
24,Flat,/en/inmueble/97024615/,"4,950,000€","['\n\n\n\n\n\n\nFlat in Sant Gervasi - Galvany', ' Barcelona\n\n\n4', '950', '000€\nParking included\n\n\n5 bed.\n448 m²\n3rd floor exterior with lift\n\n\nMagnificent apartment to move into in Turó Parc\nEngel & Völkers presents a luxury property in perfect condition in Turó Parc. It is a spacious and bright home', ' elegant and warm']",Sant Gervasi - Galvany,448 m²,5 bed.,3rd,with lift,Parking included,"Magnificent apartment to move into in Turó Parc
Engel & Völkers presents a luxury property in perfect condition in Turó Parc. It is a spacious and bright home, elegant and warm, with an impeccable layout.
It consists of a large entrance hall that gives access to the day area with a magnificent three"
25,Flat,/en/inmueble/99932460/,"279,000€","[""\n\n\n\n\n\n\nFlat in La Vall d'Hebron - La Clota"", ' Barcelona\n\n\n279', ""000€\n\n\n1 bed.\n83 m²\n1st floor exterior with lift\n\n\nLoft in Vall d'Hebron\nEngel&Völkers exclusively presents this loft apartment"", ' located in the highly demanded Vila Olímpica de los Periodistas', ' a residential complex designed by architects Carles Ferraté and Robert Suso', ' consisting of pleasant squares isolated from traffic', ' with local stores']",La Vall d'Hebron - La Clota,83 m²,1 bed.,1st,with lift,,"Loft in Vall d'Hebron
Engel&Völkers exclusively presents this loft apartment, located in the highly demanded Vila Olímpica de los Periodistas, a residential complex designed by architects Carles Ferraté and Robert Suso, consisting of pleasant squares isolated from traffic, with local stores, superma"
26,Flat,/en/inmueble/101258277/,"255,000€","['\n\n\n\n\n\n\nFlat in El Raval', ' Barcelona\n\n\n255', '000€\n\n\n272', '000 €\n\n6%\n\n\n\n2 bed.\n69 m²\n3rd floor exterior with lift\n\n\nApartment with elevator near Ronda Sant Pau\nExclusive apartment in the Raval']",El Raval,69 m²,2 bed.,3rd,with lift,,"Apartment with elevator near Ronda Sant Pau
Exclusive apartment in the Raval, recently remodeled with finishing details that make it unique in its style with great potential for investors in a very well located royal building with elevator.
Located in a rehabilitation and urban growth area of the Ci"
27,Flat,/en/inmueble/99493230/,"1,620,000€","[""\n\n\n\n\n\n\nFlat in La Dreta de l'Eixample"", ' Barcelona\n\n\n1', '620', '000€\n\n\n3 bed.\n139 m²\n1st floor exterior with lift\n\n\nNew principal flat on Rambla Catalunya\nWe are pleased to present this completely refurbished finca regia with 17 contemporary designed apartments', ' located on the iconic Rambla de Catalunya in the heart of Barcelona. Set on a tree-lined']",La Dreta de l'Eixample,139 m²,3 bed.,1st,with lift,,"New principal flat on Rambla Catalunya
We are pleased to present this completely refurbished finca regia with 17 contemporary designed apartments, located on the iconic Rambla de Catalunya in the heart of Barcelona. Set on a tree-lined, semi-pedestrianized avenue known for both outdoor dining and sh"
28,Flat,/en/inmueble/99556120/,"1,650,000€","[""\n\n\n\n\n\n\nFlat in La Dreta de l'Eixample"", ' Barcelona\n\n\n1', '650', '000€\n\n\n3 bed.\n138 m²\n1st floor exterior with lift\n\n\nNew first floor flat facing Rambla Catalunya\nWe are pleased to present this completely refurbished finca regia with 17 contemporary designed apartments', ' located on the iconic Rambla de Catalunya in the heart of Barcelona. Set on a tree-lined']",La Dreta de l'Eixample,138 m²,3 bed.,1st,with lift,,"New first floor flat facing Rambla Catalunya
We are pleased to present this completely refurbished finca regia with 17 contemporary designed apartments, located on the iconic Rambla de Catalunya in the heart of Barcelona. Set on a tree-lined, semi-pedestrianized avenue known for both outdoor dining"
29,Flat,/en/inmueble/91386533/,"395,000€","['\n\n\n\n\n\n\nFlat in Sant Pere - Santa Caterina i la Ribera', ' Barcelona\n\n\n395', '000€\n\n\n3 bed.\n94 m²\n2nd floor exterior with lift\n\n\nCosy three bedroom flat with elevator', ' in Born\nThis spacious three bedroom apartment in a nice and well mantained building with elevator', ' will definitely be one of the most favourite on the market. Of a compact layout']",Sant Pere - Santa Cater,94 m²,3 bed.,2nd,with lift,,"Cosy three bedroom flat with elevator, in Born
This spacious three bedroom apartment in a nice and well mantained building with elevator, will definitely be one of the most favourite on the market. Of a compact layout, it has no ""lost"" spaces or long corridors. Very comfortable and practical. Future"
30,Flat,/en/inmueble/96466555/,"580,000€","['\n\n\n\n\n\n\nFlat in El Gòtic', ' Barcelona\n\n\n580', '000€\n\n\n3 bed.\n100 m²\n4th floor exterior without lift\n\n\nAmazing refurbished three bedroom apartment\nAmazing Brand new renovated property of 100 meters. No lift', ' entering we find a wide open living room – open kitchen space', ' which lets acces wáter zone and bathroom', ' following a doublé bedroom with ensuite bathroom', ' a single bedroom']",El Gòtic,100 m²,3 bed.,4th,without lift,,"Amazing refurbished three bedroom apartment
Amazing Brand new renovated property of 100 meters. No lift, entering we find a wide open living room – open kitchen space, which lets acces wáter zone and bathroom, following a doublé bedroom with ensuite bathroom, a single bedroom, a walking closet and b"
31,Detached,/en/inmueble/99991679/,"2,400,000€","['\n\n\n\n\n\n\nDetached house in Sant Gervasi - La Bonanova', ' Barcelona\n\n\n2', '400', '000€\n\n\n9 bed.\n423 m²\n\n\nEmblematic house in Sarrià with garden\nHouse from 1904 with a clear modernist tendency of the architect Juan José Hervás i Arizmendi to rehabilitate. The construction consists of a ground floor plus 2 floors']",Sant Gervasi - La Bonanova,423 m²,9 bed.,,,,"Emblematic house in Sarrià with garden
House from 1904 with a clear modernist tendency of the architect Juan José Hervás i Arizmendi to rehabilitate. The construction consists of a ground floor plus 2 floors, a first floor and an accessible roof terrace where you can enjoy a terrace of about 14m2. T"
32,Flat,/en/inmueble/100664257/,"1,595,000€","['\n\n\n\n\n\n\nFlat in Pedralbes', ' Barcelona\n\n\n1', '595', '000€\nParking included\n\n\n5 bed.\n234 m²\n11th floor exterior with lift\n\n\nBrand new apartment in Pedralbes\nWe are in the best location in the city', ' with views that dominate the entire mantle of the city and the sea up to the Garraf mountains to the south']",Pedralbes,234 m²,5 bed.,11th,with lift,Parking included,"Brand new apartment in Pedralbes
We are in the best location in the city, with views that dominate the entire mantle of the city and the sea up to the Garraf mountains to the south, with the entire Collserola and Tibidabo mountain range to the west and the entire extension of Barcelona to the region"
33,Flat,/en/inmueble/99484970/,"1,995,000€","['\n\n\n\n\n\n\nFlat in Sant Gervasi - Galvany', ' Barcelona\n\n\n1', '995', '000€\nParking included\n\n\n5 bed.\n350 m²\n4th floor exterior with lift\n\n\nHigh and luminous flat in Galvany\nLikely flat entirely outdoor on a 4th floor with a very square distribution', ' made up of a spacious hall that gives us an incredible and bright dining hall with three winds and an outlet to the terrace of around. 30m2. From the dining room']",Sant Gervasi - Galvany,350 m²,5 bed.,4th,with lift,Parking included,"High and luminous flat in Galvany
Likely flat entirely outdoor on a 4th floor with a very square distribution, made up of a spacious hall that gives us an incredible and bright dining hall with three winds and an outlet to the terrace of around. 30m2. From the dining room, we can access a large offi"
34,Penthouse,/en/inmueble/101596313/,"725,000€","[""\n\n\n\n\n\n\nPenthouse in L'Antiga Esquerra de l'Eixample"", ' Barcelona\n\n\n725', '000€\n\n\n3 bed.\n113 m²\n7th floor exterior with lift\n\n\nGreat and high flat in Enric Granados\nApartment very bright in Eixample Dret', ' in a building built in 1910 with orientation Southeast.\nIt is a comfortable and functional two double size bedrooms']",L'Antiga Esquerra de l'Eixample,113 m²,3 bed.,7th,with lift,,"Great and high flat in Enric Granados
Apartment very bright in Eixample Dret, in a building built in 1910 with orientation Southeast.
It is a comfortable and functional two double size bedrooms, two complete bathrooms and a toilette. It also has a spacious living room and a fully equipped kitchen w"
35,Flat,/en/inmueble/100231770/,"299,000€","['\n\n\n\n\n\n\nFlat in Vila de Gràcia', ' Barcelona\n\n\n299', '000€\n\n\n1 bed.\n77 m²\nGround floor exterior with lift\n\n\nDesign loft in the heart of Vila de Gràcia\nPreserving all the energy and creativity of what was once an art gallery', ' we find this beautiful designer loft on the first floor of a 1979 building in the prestigious Verdi street', ' a few steps from the Plaça del Nord.\nUpon entering']",Vila de Gràcia,77 m²,1 bed.,Ground,with lift,,"Design loft in the heart of Vila de Gràcia
Preserving all the energy and creativity of what was once an art gallery, we find this beautiful designer loft on the first floor of a 1979 building in the prestigious Verdi street, a few steps from the Plaça del Nord.
Upon entering, the hall gives way to"
36,Duplex,/en/inmueble/100918097/,"895,000€","[""\n\n\n\n\n\n\nDuplex in La Dreta de l'Eixample"", ' Barcelona\n\n\n895', '000€\n\n\n3 bed.\n183 m²\n4th floor exterior with lift\n\n\nFantastic apartment to renovate in Eixample\nIn the heart of Eixample Dret', ' a few meters from Passeig de Gràcia and next to the Concepción market', ' we find this spectacular corner apartment']",La Dreta de l'Eixample,183 m²,3 bed.,4th,with lift,,"Fantastic apartment to renovate in Eixample
In the heart of Eixample Dret, a few meters from Passeig de Gràcia and next to the Concepción market, we find this spectacular corner apartment, located in a royal building from 1900 on Bruc street.
The apartment is currently divided into a day area and a"
37,Flat,/en/inmueble/101140475/,"1,590,000€","[""\n\n\n\n\n\n\nFlat in La Dreta de l'Eixample"", ' Barcelona\n\n\n1', '590']",La Dreta de l'Eixample,185 m²,3 bed.,5th,with lift,,"Fabulous apartment in the best part of Barcelona
Engel & Völkers presents this spectacular 185 square meter property for sale located in the heart of Eixample. The apartment is located on the fifth floor of the building built in 1950 that offers stunning views of the Casa de les Punxes.
The apartmen"
38,Flat,/en/inmueble/100815348/,"890,000€","[""\n\n\n\n\n\n\nFlat in La Dreta de l'Eixample"", ' Barcelona\n\n\n890', '000€\n\n\n950', '000 €\n\n6%\n\n\n\n4 bed.\n150 m²\n2nd floor exterior with lift\n\n\nFlat to refurbish with terrace in Eixample\nIt is located in a historic building from 1910', ' very well preserved', "" on the Dreta de l'Eixample"", ' the area where the Ildefons Cerdà project began', ' located in one of the streets where most of the buildings of great value are located. patrimonial']",La Dreta de l'Eixample,150 m²,4 bed.,2nd,with lift,,"Flat to refurbish with terrace in Eixample
It is located in a historic building from 1910, very well preserved, on the Dreta de l'Eixample, the area where the Ildefons Cerdà project began, located in one of the streets where most of the buildings of great value are located. patrimonial, and which al"
39,Flat,/en/inmueble/99625804/,"808,000€","[""\n\n\n\n\n\n\nFlat in L'Antiga Esquerra de l'Eixample"", ' Barcelona\n\n\n808']",L'Antiga Esquerra de l'Eixample,123 m²,3 bed.,1st,with lift,,"Stylish apartment near Plaça Universitat
This bright and elegant apartment on the first floor (a real third floor) facing northwest is part of a Great Refurbishment in a magnificent 1900 Regal Estate building located near plaça Universitat. All of the details of this refurbishment have been taken ca"
40,Cortijo,/en/inmueble/94726691/,"745,000€","['\n\n\n\n\n\n\nCortijo in Vila de Gràcia', ' Barcelona\n\n\n745', '000€\n\n\n6 bed.\n238 m²\n\n\nAmazing house to refurbish in Vila de Gràcia\nEngel & Volkers presents this amazing property in Vila de Gràcia', ' a house to renovate with garden']",Vila de Gràcia,238 m²,6 bed.,,,,"Amazing house to refurbish in Vila de Gràcia
Engel & Volkers presents this amazing property in Vila de Gràcia, a house to renovate with garden, terrace and beautiful protected façade from 1910.
The property consists of 3 floors with a total surface of 204 sqm to which we have to add a garden of 35"
41,Flat,/en/inmueble/100266484/,"500,000€","[""\n\n\n\n\n\n\nFlat in La Dreta de l'Eixample"", ' Barcelona\n\n\n500', '000€\n\n\n3 bed.\n100 m²\n2nd floor exterior with lift\n\n\nMagnificent apartment to renovate in Eixample\nIn the heart of Eixample Dret', ' a few meters from Passeig de Gràcia and next to the Concepción market', ' we find this spectacular corner apartment']",La Dreta de l'Eixample,100 m²,3 bed.,2nd,with lift,,"Magnificent apartment to renovate in Eixample
In the heart of Eixample Dret, a few meters from Passeig de Gràcia and next to the Concepción market, we find this spectacular corner apartment, located in a royal building from 1900 on Bruc street.
The apartment is currently divided into a day area and"
