,type,reference,price,district,street,area,plant,lift,parking,description
10,Flat,/en/inmueble/101567918/,"695,000€","['\n\n\n\n\n\n\nFlat in Sarrià', ' Barcelona\n\n\n695', '000€\nParking included\n\n\n4 bed.\n110 m²\n8th floor exterior with lift\n\n\nBRIGHT APARTMENT IN UPPER PART OF BARCELONA RECENTLY RENOVATED\nVERY BRIGHT RECENTLY RENOVATED APARTMENT WITH HIGH QUALITY FINISHES\nBerkshire Hathaway HomeServices', ' a consulting firm specializing in the marketing of exclusive properties in the best areas of Barcelona']",Sarrià,110 m²,8th,with lift,Parking included,"BRIGHT APARTMENT IN UPPER PART OF BARCELONA RECENTLY RENOVATED
VERY BRIGHT RECENTLY RENOVATED APARTMENT WITH HIGH QUALITY FINISHES
Berkshire Hathaway HomeServices, a consulting firm specializing in the marketing of exclusive properties in the best areas of Barcelona, offers you this spacious 110 sq"
11,Flat,/en/inmueble/96285378/,"2,300,000€","['\n\n\n\n\n\n\nFlat in Sant Gervasi - Galvany', ' Barcelona\n\n\n2', '300', '000€\nParking included\n\n\n5 bed.\n286 m²\n3rd floor exterior with lift\n\n\nExclusive apartment of 286 m2 built', ' with an unbeatable location and distribution. Located in a quiet street in the Tres Torres neighborhood', ' the house is a 3rd floor with 3 winds facing south with all the exterior rooms and large windows. The day area has a large hall']",Sant Gervasi - Galvany,286 m²,3rd,with lift,Parking included,"Exclusive apartment of 286 m2 built, with an unbeatable location and distribution. Located in a quiet street in the Tres Torres neighborhood, the house is a 3rd floor with 3 winds facing south with all the exterior rooms and large windows. The day area has a large hall, a large living room with a lo"
12,Flat,/en/inmueble/96086013/,"700,000€","['\n\n\n\n\n\n\nFlat in calle del Tenor Masini', ' Sants', ' Barcelona\n\n\n700', '000€\n\n\n4 bed.\n350 m²\nGround floor exterior without lift\n\n\nNew York style loft with high ceilings\nSpectacular New York style loft. It is a space of 350 sqm', ' of which 260 sqm on the ground floor and 90 sqm on the mezzanines.\nIt is a spectacular designed property', ' very bright thanks to its large windows']",calle del Tenor Mas,350 m²,Ground,without lift,,"New York style loft with high ceilings
Spectacular New York style loft. It is a space of 350 sqm, of which 260 sqm on the ground floor and 90 sqm on the mezzanines.
It is a spectacular designed property, very bright thanks to its large windows, with ceilings of more than 5 sqm.
The original old elem"
13,Flat,/en/inmueble/98927908/,"625,000€","['\n\nFlat in Gran Via de les Corts Catalanes', ' El Fort Pienc', ' Barcelona\n\n\n625', '000€\n\n\n3 bed.\n131 m²\n3rd floor exterior with lift\n\n\nLet us introduce you to this impressive and majestic apartment for sale located on the prestigious Gran Vía', ' in a building that dates back to 1921.With a complete renovation and ready to move in', ' this magnificent home offers you an exceptional living experience.\nWith an area of 130 m2']",Gran Via de les Corts Catalanes,131 m²,3rd,with lift,,"Let us introduce you to this impressive and majestic apartment for sale located on the prestigious Gran Vía, in a building that dates back to 1921.With a complete renovation and ready to move in, this magnificent home offers you an exceptional living experience.
With an area of 130 m2, this apartme"
14,Flat,/en/inmueble/100178334/,"419,000€","['\n\n\n\n\n\n\nFlat in calle de València', ' La Sagrada Família', ' Barcelona\n\n\n419', '000€\n\n\n427']",calle de València,118 m²,1st,with lift,,"Family apartment in Sagrada Família
We offer this apartment in a building from 1980 very close to the Sagrada Família.
It is located on a second floor with lots of light. The building has an elevator and the apartment overlooks a clear and open courtyard with views of the Sagrada Familia.
The proper"
15,Flat,/en/inmueble/101477449/,"760,000€","['\n\n\n\n\n\n\nFlat in calle de Balmes', ' 433', ' Sant Gervasi - La Bonanova', ' Barcelona\n\n\n760', '000€\n\n\n3 bed.\n81 m²\n6th floor exterior with lift\n\n\nSpectacular 81m² flat for sale in Sant Gervasi-La Bonanova neigbourhood. The flat is part of the luxury building development for sale at 433 Balmes Street', ' next to Kennedy Square and Tibidabo Avenue', ' one of the most prestigious residential areas of Barcelona']",calle de Balmes,81 m²,6th,with lift,,"Spectacular 81m² flat for sale in Sant Gervasi-La Bonanova neigbourhood. The flat is part of the luxury building development for sale at 433 Balmes Street, next to Kennedy Square and Tibidabo Avenue, one of the most prestigious residential areas of Barcelona,
The flat has a spacious and bright livin"
16,Flat,/en/inmueble/101399889/,"415,000€","[""\n\n\n\n\n\n\nFlat in El Camp d'En Grassot i Gràcia Nova"", ' Barcelona\n\n\n415', '000€\n\n\n1 bed.\n68 m²\n1st floor exterior with lift\n\n\nOne bedroom loft in Gràcia\nBefore entering the development', ' we already see that it is a building with great finishes', ' a ventilated façade', ' which improves insulation', ' both acoustic and thermal']",El Camp d'En Grassot i Gràcia Nova,68 m²,1st,with lift,,"One bedroom loft in Gràcia
Before entering the development, we already see that it is a building with great finishes, a ventilated façade, which improves insulation, both acoustic and thermal, together with wooden windows and aerothermal energy.
We enter the spacious hall that leads us to the eleva"
17,Penthouse,/en/inmueble/101313663/,"209,000€","['\n\n\n\n\n\n\nPenthouse in Can Baró', ' Barcelona\n\n\n209', '000€\n\n\n1 bed.\n69 m²\n4th floor exterior without lift\n\n\nBright penthouse with large terrace in Can Baró\nEngel & Völkers presents this fantastic penthouse at 3 winds with a large terrace facing Southwest and beautiful views', ' high', ' bright and all exterior', ' located in a quiet street of the residential neighborhood Can Baró']",Can Baró,69 m²,4th,without lift,,"Bright penthouse with large terrace in Can Baró
Engel & Völkers presents this fantastic penthouse at 3 winds with a large terrace facing Southwest and beautiful views, high, bright and all exterior, located in a quiet street of the residential neighborhood Can Baró, in a building without elevator."
18,Flat,/en/inmueble/101615256/,"299,000€","['\n\n\n\n\n\n\nFlat in plaza de Raimon Casellas', ' Can Baró', ' Barcelona\n\n\n299']",plaza de Raimon Casellas,106 m²,3rd,lift,Parking included,TRIPLEX APARTMENT FOR SALE WITH OPTIONAL PARKING Very bright exterior triplex house to move into on a third real floor with a single-use elevator for the owners of the third floor of the property. Your day to day and that of your loved ones can change in a property like this thanks to the fact that
19,Flat,/en/inmueble/101525290/,"285,000€","['\n\n\n\n\n\n\nFlat in El Raval', ' Barcelona\n\n\n285', '000€\n\n\n1 bed.\n59 m²\n4th floor exterior without lift\n\n\nModern refurbished apartment in El Raval\nRecently renovated apartment', "" with high quality materials and design. It's very bright and silent fourth floor with views to Carmen church""]",El Raval,59 m²,4th,without lift,,"Modern refurbished apartment in El Raval
Recently renovated apartment, with high quality materials and design. It's very bright and silent fourth floor with views to Carmen church, a modernist temple designed in 1910 and inspired by the Central European Gothic architecture.
The space is divided into"
20,Flat,/en/inmueble/101424486/,"280,000€","['\n\n\n\n\n\n\nFlat in El Raval', ' Barcelona\n\n\n280', '000€\n\n\n3 bed.\n100 m²\n1st floor exterior without lift\n\n\nIn the center of the old town of Barcelona', ' Casc Antic Barcelona presents this spacious apartment with a double balcony;\nIn a 1900 farm in very good condition is this apartment of 88 useful meters distributed as follows;\nWe enter an entrance hall in front of it with a spacious bathroom']",El Raval,100 m²,1st,without lift,,"In the center of the old town of Barcelona, Casc Antic Barcelona presents this spacious apartment with a double balcony;
In a 1900 farm in very good condition is this apartment of 88 useful meters distributed as follows;
We enter an entrance hall in front of it with a spacious bathroom, where in a"
21,Flat,/en/inmueble/101036417/,"560,205€","['\n\n\n\n\n\n\nFlat in calle de Llull', ' 209', ' El Poblenou', ' Barcelona\n\n\n560', '205€\nParking included\n\n\n2 bed.\n64 m²\n1st floor exterior with lift\n\n\nBrand New Apartments with Gardens and Swimmingpool\nExcellent New Development', ' located in the heart of Poblenou', ' well connected and close to the beach. It consists of a total of 37 apartments', ' 53 parking spaces and 33 storage rooms']",calle de Llull,64 m²,1st,with lift,Parking included,"Brand New Apartments with Gardens and Swimmingpool
Excellent New Development, located in the heart of Poblenou, well connected and close to the beach. It consists of a total of 37 apartments, 53 parking spaces and 33 storage rooms, a shared garden area with a swimming pool.
Last apartment available"
22,Flat,/en/inmueble/101421006/,"1,700,000€","['\n\n\n\n\n\n\nFlat in Pedralbes', ' Barcelona\n\n\n1', '700', '000€\n\n\n6 bed.\n285 m²\n3rd floor exterior with lift\n\n\nIncredible apartment to reform located in Pedralbes\nWe exclusively present this beautiful and elegant apartment in one of the most prestigious areas of the city', ' Pedralbes. As soon as you enter the property', ' you can appreciate its spaciousness']",Pedralbes,285 m²,3rd,with lift,,"Incredible apartment to reform located in Pedralbes
We exclusively present this beautiful and elegant apartment in one of the most prestigious areas of the city, Pedralbes. As soon as you enter the property, you can appreciate its spaciousness, the wonderful light that it has all day due to its opti"
23,Flat,/en/inmueble/100336538/,"320,000€","['\n\n\n\n\n\n\nFlat in calle del Rosselló', "" La Nova Esquerra de l'Eixample"", ' Barcelona\n\n\n320', '000€\n\n\n340', '000 €\n\n6%\n\n\n\n3 bed.\n90 m²\n1st floor interior with lift\n\n\nExcellent renovated home!\nClikalia offers this 90 m2 interior property for sale', ' perfect to move into. It is located on a mezzanine floor with an elevator', ' on Rosselló street']",calle del Rosselló,90 m²,1st,with lift,,"Excellent renovated home!
Clikalia offers this 90 m2 interior property for sale, perfect to move into. It is located on a mezzanine floor with an elevator, on Rosselló street, in Nova Esquerra de l'Eixample.
We are the owners of the house so WE DO NOT CHARGE COMMISSION!
The apartment has 3 bedroo"
24,Terraced,/en/inmueble/101446883/,"380,000€","['\n\n\n\n\n\n\nTerraced house in El Carmel', ' Barcelona\n\n\n380', '000€\n\n\n5 bed.\n160 m²\n\n\nNice house with terrace with views\nEngel & Völkers presents exclusively', ' a property that consists of two houses', ' one of them duplex. Upon entering there is a courtyard that gives access to the two houses', ' on the ground floor we have the first house with two bedrooms', ' one double', ' dining room']",El Carmel,160 m²,,,,"Nice house with terrace with views
Engel & Völkers presents exclusively, a property that consists of two houses, one of them duplex. Upon entering there is a courtyard that gives access to the two houses, on the ground floor we have the first house with two bedrooms, one double, dining room, kitchen"
25,Duplex,/en/inmueble/101616899/,"2,200,000€","['\n\n\n\n\n\n\nDuplex in modolell', ' Sant Gervasi - Galvany', ' Barcelona\n\n\n2', '200', '000€\nParking included\n\n\n6 bed.\n280 m²\nGround floor exterior with lift\n\n\nGround floor for sale in Tres Torres', ' Barcelona. Exclusive farm with few neighbors. House of about 280m2 completely exterior with a large garden of approximately 250m2 that surrounds the house. Private access to the community pool from the same garden']",modolell,280 m²,Ground,with lift,Parking included,"Ground floor for sale in Tres Torres, Barcelona. Exclusive farm with few neighbors. House of about 280m2 completely exterior with a large garden of approximately 250m2 that surrounds the house. Private access to the community pool from the same garden, at the foot of the living room. A unique home i"
26,Flat,/en/inmueble/101474907/,"1,600,000€","['\n\n\n\n\n\n\nFlat in Sant Gervasi - Galvany', ' Barcelona\n\n\n1', '600', '000€\n\n\n2 bed.\n177 m²\n5th floor exterior with lift\n\n\nBright apartment in the heart of Turó Parc\nLocated in the heart of one of the most prestigious residential neighborhoods in Barcelona', ' Turó Parc', ' we find this magnificent apartment located in a wonderful and characteristic royal estate.\nThanks to its fabulous distribution']",Sant Gervasi - Galvany,177 m²,5th,with lift,,"Bright apartment in the heart of Turó Parc
Located in the heart of one of the most prestigious residential neighborhoods in Barcelona, Turó Parc, we find this magnificent apartment located in a wonderful and characteristic royal estate.
Thanks to its fabulous distribution, the apartment is character"
27,Flat,/en/inmueble/101616288/,"340,000€","['\n\n\n\n\n\n\nFlat in La Sagrada Família', ' Barcelona\n\n\n340', '000€\n\n\n3 bed.\n86 m²\n1st floor exterior with lift\n\n\nThree bedroom apartment next to Sagrada Familia.It consists of a dining room outside a gallery with a typical Eixample window', ' two single rooms', ' a double room facing a balcony', ' an independent kitchen and a complete bathroom.\nThe apartment has hydraulic pavement floors']",La Sagrada Família,86 m²,1st,with lift,,"Three bedroom apartment next to Sagrada Familia.It consists of a dining room outside a gallery with a typical Eixample window, two single rooms, a double room facing a balcony, an independent kitchen and a complete bathroom.
The apartment has hydraulic pavement floors, high coffered ceilings and a"
28,Flat,/en/inmueble/101544384/,"130,000€","['\n\n\n\n\n\n\nFlat in calle de les Agudes', ' Ciutat Meridiana - Torre Baró - Vallbona', ' Barcelona\n\n\n130', '000€\n\n\n3 bed.\n64 m²\n4th floor exterior without lift\n\n\nBRIGHT WITH BALCONY', ' DOES NOT HAVE ELEVATOR. House of 64 m² built according to cadastre', ' 60 m² useful', ' ready to move into. Fantastic real 4th floor without elevator (short and comfortable stairs to climb). It has a very bright and spacious living-dining room with access to an L-shaped balcony']",calle de les Agudes,64 m²,4th,without lift,,"BRIGHT WITH BALCONY, DOES NOT HAVE ELEVATOR. House of 64 m² built according to cadastre, 60 m² useful, ready to move into. Fantastic real 4th floor without elevator (short and comfortable stairs to climb). It has a very bright and spacious living-dining room with access to an L-shaped balcony, with"
29,Flat,/en/inmueble/100827825/,"360,000€","['\n\n\n\n\n\n\nFlat in calle de València', ' La Sagrada Família', ' Barcelona\n\n\n360', '000€\n\n\n375', '000 €\n\n4%\n\n\n\n2 bed.\n75 m²\n5th floor exterior with lift\n\n\nBright apartment with large rooftop terrace in Eixample\nIn the Eixample neighborhood', ' a few minutes from the Sagrada Familia', ' is this bright renovated two-bedroom apartment on the top floor of the building. Its location is enviable', ' surrounded by many shops']",calle de València,75 m²,5th,with lift,,"Bright apartment with large rooftop terrace in Eixample
In the Eixample neighborhood, a few minutes from the Sagrada Familia, is this bright renovated two-bedroom apartment on the top floor of the building. Its location is enviable, surrounded by many shops, multiple leisure options and public trans"
30,Flat,/en/inmueble/100827825/,"360,000€","['\n\n\n\n\n\n\nFlat in calle de València', ' La Sagrada Família', ' Barcelona\n\n\n360', '000€\n\n\n375', '000 €\n\n4%\n\n\n\n2 bed.\n75 m²\n5th floor exterior with lift\n\n\nBright apartment with large rooftop terrace in Eixample\nIn the Eixample neighborhood', ' a few minutes from the Sagrada Familia', ' is this bright renovated two-bedroom apartment on the top floor of the building. Its location is enviable', ' surrounded by many shops']",calle de València,75 m²,5th,with lift,,"Bright apartment with large rooftop terrace in Eixample
In the Eixample neighborhood, a few minutes from the Sagrada Familia, is this bright renovated two-bedroom apartment on the top floor of the building. Its location is enviable, surrounded by many shops, multiple leisure options and public trans"
31,Flat,/en/inmueble/101530804/,"196,000€","['\n\n\n\n\n\n\nFlat in calle de Fastenrath', ' La Teixonera', ' Barcelona\n\n\n196', '000€\n\n\n2 bed.\n75 m²\n1st floor exterior without lift\n\n\nIn La Teixonera', ' specifically on Fastenrath street', ' we find this flat', ' facing South', ' quiet and bright. Built surface', ' more than 70 m2 according to cadastre. It has a spacious and cozy living room. A kitchen with a correct measure. It has 1 exterior double room']",calle de Fastenrath,75 m²,1st,without lift,,"In La Teixonera, specifically on Fastenrath street, we find this flat, facing South, quiet and bright. Built surface, more than 70 m2 according to cadastre. It has a spacious and cozy living room. A kitchen with a correct measure. It has 1 exterior double room, 1 medium with wardrobe. One bathroom w"
32,Flat,/en/inmueble/99674981/,"245,000€","['\n\n\n\n\n\n\nFlat in calle del Roser', ' El Poble Sec - Parc de Montjuïc', ' Barcelona\n\n\n245', '000€\n\n\n3 bed.\n66 m²\n1st floor exterior with lift\n\n\nPrincipal flat in Poble Sec\nThis 3 bedroom flat is located in the quiet Poble sec neighborhood in central Barcelona', ' just at the border of picturesque Montjuic', ' which is known for its outstanding views of the city', ' parks']",calle del Roser,66 m²,1st,with lift,,"Principal flat in Poble Sec
This 3 bedroom flat is located in the quiet Poble sec neighborhood in central Barcelona, just at the border of picturesque Montjuic, which is known for its outstanding views of the city, parks, museums and sports facilities. Less than 2 blocks away is the lively pedestria"
33,Flat,/en/inmueble/101301310/,"1,295,000€","[""\n\n\n\n\n\n\nFlat in La Dreta de l'Eixample"", ' Barcelona\n\n\n1', '295', '000€\nParking included\n\n\n2 bed.\n126 m²\n6th floor exterior with lift\n\n\nExclusive flat with parking in Eixample\nIt is located in a new building built in 2021 in the right Eixample', ' designed by the award-winning GCA Architects.\nThis wonderful apartment of exquisite taste is located on one of the top floors']",La Dreta de l'Eixample,126 m²,6th,with lift,Parking included,"Exclusive flat with parking in Eixample
It is located in a new building built in 2021 in the right Eixample, designed by the award-winning GCA Architects.
This wonderful apartment of exquisite taste is located on one of the top floors, with high-quality finishes and personalized details. The kitchen"
34,Flat,/en/inmueble/101474907/,"1,600,000€","['\n\n\n\n\n\n\nFlat in Sant Gervasi - Galvany', ' Barcelona\n\n\n1', '600', '000€\n\n\n2 bed.\n177 m²\n5th floor exterior with lift\n\n\nBright apartment in the heart of Turó Parc\nLocated in the heart of one of the most prestigious residential neighborhoods in Barcelona', ' Turó Parc', ' we find this magnificent apartment located in a wonderful and characteristic royal estate.\nThanks to its fabulous distribution']",Sant Gervasi - Galvany,177 m²,5th,with lift,,"Bright apartment in the heart of Turó Parc
Located in the heart of one of the most prestigious residential neighborhoods in Barcelona, Turó Parc, we find this magnificent apartment located in a wonderful and characteristic royal estate.
Thanks to its fabulous distribution, the apartment is character"
35,Penthouse,/en/inmueble/101313663/,"209,000€","['\n\n\n\n\n\n\nPenthouse in Can Baró', ' Barcelona\n\n\n209', '000€\n\n\n1 bed.\n69 m²\n4th floor exterior without lift\n\n\nBright penthouse with large terrace in Can Baró\nEngel & Völkers presents this fantastic penthouse at 3 winds with a large terrace facing Southwest and beautiful views', ' high', ' bright and all exterior', ' located in a quiet street of the residential neighborhood Can Baró']",Can Baró,69 m²,4th,without lift,,"Bright penthouse with large terrace in Can Baró
Engel & Völkers presents this fantastic penthouse at 3 winds with a large terrace facing Southwest and beautiful views, high, bright and all exterior, located in a quiet street of the residential neighborhood Can Baró, in a building without elevator."
36,Duplex,/en/inmueble/101616899/,"2,200,000€","['\n\n\n\n\n\n\nDuplex in modolell', ' Sant Gervasi - Galvany', ' Barcelona\n\n\n2', '200', '000€\nParking included\n\n\n6 bed.\n280 m²\nGround floor exterior with lift\n\n\nGround floor for sale in Tres Torres', ' Barcelona. Exclusive farm with few neighbors. House of about 280m2 completely exterior with a large garden of approximately 250m2 that surrounds the house. Private access to the community pool from the same garden']",modolell,280 m²,Ground,with lift,Parking included,"Ground floor for sale in Tres Torres, Barcelona. Exclusive farm with few neighbors. House of about 280m2 completely exterior with a large garden of approximately 250m2 that surrounds the house. Private access to the community pool from the same garden, at the foot of the living room. A unique home i"
37,Flat,/en/inmueble/101337290/,"380,000€","['\n\n\n\n\n\n\nFlat in La Barceloneta', ' Barcelona\n\n\n380']",La Barceloneta,137 m²,Ground,without lift,,"Apartment renovate on ground floor in Barceloneta
Regal estate of 1936 with only 3 neighbors. The building has been improved in the common areas and facilities.
This renovated apartment is located on the first floor. There are two levels: ground floor of 66.84 m2 and basement of 70m2 with direct ac"
38,Flat,/en/inmueble/100726282/,"149,000€","['\n\n\n\n\n\n\nFlat in Sants - Badal', ' Barcelona\n\n\n149', '000€\n\n\n2 bed.\n73 m²\nMezzanine exterior with lift\n\n\nChance! 73 m² apartment distributed in living room', ' three bedrooms', ' kitchen', ' bathroom and hall. It has stoneware floors', ' aluminum windows', ' interior sapelly doors... It requires comprehensive reform to move into']",Sants - Badal,73 m²,Mezzanine,lift,,"Chance! 73 m² apartment distributed in living room, three bedrooms, kitchen, bathroom and hall. It has stoneware floors, aluminum windows, interior sapelly doors... It requires comprehensive reform to move into, but offers many possibilities. It is a mezzanine in a block with elevator. Good communic"
39,Flat,/en/inmueble/98839385/,"155,000€","['\n\n\n\n\n\n\nFlat in La Prosperitat', ' Barcelona\n\n\n155', '000€\n\n\n3 bed.\n71 m²\n1st floor exterior with lift\n\n\nChance! 71 m² apartment distributed in a living-dining room', ' three bedrooms', ' an independent kitchen', ' a bathroom and a hall. It has stoneware floors', ' white lacquered aluminum windows']",La Prosperitat,71 m²,1st,with lift,,"Chance! 71 m² apartment distributed in a living-dining room, three bedrooms, an independent kitchen, a bathroom and a hall. It has stoneware floors, white lacquered aluminum windows, natural gas heating installation... Good general state of conservation. Many possibilities. It is a 1st Floor in a bl"
40,Flat,/en/inmueble/101615256/,"299,000€","['\n\n\n\n\n\n\nFlat in plaza de Raimon Casellas', ' Can Baró', ' Barcelona\n\n\n299']",plaza de Raimon Casellas,106 m²,3rd,lift,Parking included,TRIPLEX APARTMENT FOR SALE WITH OPTIONAL PARKING Very bright exterior triplex house to move into on a third real floor with a single-use elevator for the owners of the third floor of the property. Your day to day and that of your loved ones can change in a property like this thanks to the fact that
41,Detached,/en/inmueble/101538807/,"2,050,000€","['\n\n\n\n\n\n\nDetached house in Sarrià', ' Barcelona\n\n\n2', '050', '000€\nParking included\n\n\n2', '100', '000 €\n\n2%\n\n\n\n6 bed.\n204 m²\n\n\nCozy period house with garden in Sarriá\nCozy house with garden and interior patio to reform in the heart of Sarriá']",Sarrià,204 m²,,,Parking included,"Cozy period house with garden in Sarriá
Cozy house with garden and interior patio to reform in the heart of Sarriá, in a very quiet street. Building from 1880 consists of a ground floor and a contemporary-era vault with a garden in front of the building and a quiet patio at the back. The façade with"
